average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,Sydney,4138,"[('Headquarters', 'Dublin, Ireland'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Public\r\n                                    (ACN)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Cognizant Technology Solutions, EY, McKinsey & Company')]",Accenture,3.8,Australia,"Qualifications: Bachelor's degreeMinimum of 7 years of experience in Healthcare and/or Public SectorMinimum of 3 years of strategy consulting experience at a consulting firmMinimum of 2 years of experience in one or two of the following:Visioning and Growth StrategiesStrategic cost reduction / zero based cost reduction and spendTechnology strategy (e.g., digital, cloud, artificial intelligence, analytics, robotic process automation, blockchain)Customer strategy (e.g., customer experience, customer journey design)Workforce strategyProfessional Skill Requirements:MBA degree or equivalentProven ability to build, manage and foster a team-oriented environmentProven ability to work independently and drive your won work activites to an agreed outcome  Proven ability to work creatively and analytically in a problem-solving environment with Strong Financial and Business AcumenExcellent communication (written and oral) and interpersonal skills, workshop facilitation, and strong executive presenceExcellent leadership and management skills Read moreSee All",Business Strategy Senior Manager - Health & Public Service, 25 days ago
,Sydney,222702,"[('Headquarters', 'New York, NY'), ('Size', '1001 to 5000 employees'), ('Founded', '1973'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable')]",IQPC,3.2,Australia,"Finished your Exams? Not sure what career path you want to take? Look no further.  The International Quality and Productivity Centre (IQPC) is one of the world’s leading conference and events companies.  Our conference topics are on the forefront of changes in the Australian economy and range from subjects such as, the use of Artificial Intelligence to improve business through to how Blockchain is changing the nature of global finance markets. RequirementsKey Responsibilities:Developing conference programs that tap into new innovations and ideas.Attracting and securing speakers to each event.Writing copy for conference agenda and marketing collateral.Working in partnership with other internal teams to deliver the final outcome.(marketing, operations, delegate sales and sponsorship).Managing budgetsOnsite running of the event. Conducting research with senior executives to familiarise yourself with the inner workings of the topic you are focusing on. To be successful you will be:An enthusiastic Graduate looking for a career opportunity – 1 year’s corporate experience preferred but not essential.Interested in current events and have a broad understanding of the Australian economy.Able to express yourself extremely well both written and verbally.Well presented and not afraid to meet face to face with clients.Confident over the phone and comfortable working to tight deadlines.BenefitsIn return IQPC will offer you:Initial and ongoing training and development of communication, sales, marketing and project management skills.The opportunity to network with senior business leaders across a wide variety of industries.The ability to travel both locally and overseas (we have offices located in London, New York, Berlin, Dubai and Singapore).A fantastic culture and team to work and grow with. Email your CV to: Trish.Tyler@iqpc.com.au for a confidential chat. Start ASAP. Read moreSee All",Graduate Role - Conference Production, 10 days ago
,Sydney,4138,"[('Headquarters', 'Dublin, Ireland'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Public\r\n                                    (ACN)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Cognizant Technology Solutions, EY, McKinsey & Company')]",Accenture,3.8,Australia,"Qualifications: Bachelor's degreeMinimum of 4 years of experience in Healthcare and/or Public SectorMinimum of 2 years of strategy consulting experience at a consulting firmMinimum of 1 years of experience in one or two of the following:Visioning and Growth StrategiesStrategic cost reduction / zero based cost reduction and spendTechnology strategy (e.g., digital, cloud, artificial intelligence, analytics, robotic process automation, blockchain)Customer strategy (e.g., customer experience, customer journey design)Workforce strategyProfessional Skill Requirements:MBA degree or equivalentProven ability to build, manage and foster a team-oriented environmentProven ability to work independently with guidance from Senior management  Proven ability to work creatively and analytically in a problem-solving environment with Strong Financial and Business AcumenExcellent communication (written and oral) and interpersonal skills, workshop facilitation, and strong executive presenceStrong Program Management Skills Demonstrated expertise in Health and Public Services with preferred industry experience in HealthThe candidate should have excellent customer facing capabilities, and an established track record for selling & delivering consulting engagements Read moreSee All",Business Strategy Manager - Health & Public Service, 25 days ago
,Sydney,540720,"[('Headquarters', 'Bristol, United Kingdom'), ('Size', '201 to 500 employees'), ('Founded', '2008'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$100 to $500 million (USD) per year'), ('Competitors', 'Unknown')]",Opus Professional Services Group,4.4,Australia,"BLOCKCHAIN / Webservices / GREENFIELD / Senior QA Engineer / TRADING / $100,000 - $120,000 + Super Urgent permanent requirement for a Senior QA in the Trading domain. It is in the CBD for a brand new Greenfield project specializing in BLOCKCHAIN.  The right candidate will be a Back-end Test specialist who has used the following XMLWebservicesISO Standard messagingBack end applicationsUsing messaging systems to verify and retrieve Nice to have Blackchain experience or interest inTrading/finance experience If you have the relevant skillset please get in touch  barry.smith.daxtra@opusrs.com.au Read moreSee All",Senior QA Engineer (Webservices), 24 days ago
,Canberra,4138,"[('Headquarters', 'Dublin, Ireland'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Public\r\n                                    (ACN)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Cognizant Technology Solutions, EY, McKinsey & Company')]",Accenture,3.8,Australia,"Qualifications:Experience in object-oriented development (JavaScript).Proven experience with tools including HTML5, CSS3, jQuery and AJAX.Technical skills in front end technologies like AngularJS, React.js, React Native and Node.jsExperience in working with APIs and web servicesTechnical skills in cross platform mobile developmentExperience in UI & UX Design and utilising Adobe Creative Cloud products, Sketch and other design-based toolsets.Experience in working with teams who run agile and sprint-based methodologiesGood understanding of version control systems (Git, Perforce, etc.)General:Must be motivated, self-starterMust enjoy technology and be passionate about applying technologies to real world problemsMust be comfortable in interfacing with different teams and clients and be able to support presentations, demonstration and events with The Garden teams involvedHigh interest in emerging technologies like blockchain, AI and quantum computing Read moreSee All",Full Stack Engineer, 9 days ago
,Sydney,2867,"[('Headquarters', 'New York, NY'), ('Size', '10000+ employees'), ('Founded', '1987'), ('Type', 'Subsidiary or Business Segment'), ('Industry', 'Accounting & Legal'), ('Revenue', '$2 to $5 billion (USD) per year'), ('Competitors', 'PwC, Deloitte, EY')]",KPMG Australia,3.8,Australia,"Be at the forefront of KPMG's digital and technology transformationBuild a long term career across the broad areas of our businessEnjoy significant responsibility in an agile work environment and a career that flexes to your lifestyleBarangaroo office, Sydney (Melbourne applicants also considered for Docklands office location) KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow. We are looking for talented people who share our purpose of inspiring confidence and empowering change for our clients, our people and our communities.  KPMG is embracing technology to transform and enhance our client service offerings in areas such as artificial intelligence, data and analytics, virtual reality, cybersecurity and blockchain. We also collaborate with major technology vendors to provide innovative client solutions.  An exciting opportunity for a commercially-focussed, junior to mid-level technology lawyer has arisen in our in-house legal team, the Office of General Counsel (OGC).  Based in our Barangaroo, Sydney office (although Melbourne applicants will also be considered) and working within an agile, inclusive and supportive culture, this role reports to the OGC's Head of IP & Technology. It will see you advising all areas of KPMG's business, including working directly with the General Counsel, Chief Digital Officer, CIO and other senior stakeholders. You will be operating in an area of real growth and innovation, with the opportunity to independently develop your network throughout KPMG and be highly-visible on business initiatives that are at the forefront of our rapid expansion in the technology space. Your new roleKey responsibilities will include:Providing legal guidance in relation to KPMG's rapidly growing and evolving technology solutions and digital service offeringsAdvising on the development and commercialisation of innovative, digital products and service offerings, including licensing them across KPMG's global, member firm networkReviewing, drafting and negotiating IT and IT-related agreements, including master technology services agreements, technology procurement, implementation, licensing, SaaS and outsourcing agreementsAdvising on the structuring of and responses to tenders for the provision of technology servicesSupporting OGC's M&A team where technology and intellectual property issues arise in acquisitionsLiaising closely with the business and external counsel.You bring to the role Ideally we are looking for someone with post admission experience with a leading law firm and/or in-house environment or technology business. You will have: Current practicing certificateSignificant experience advising on technology contracts and technology-related mattersStrong drafting and negotiation skillsStrong written and verbal communication skills and experience building relationships with internal clients at all levelsProject management, research, analysis and problem solving skillsFlexibility, adaptability and a team-orientated attitude, as well as the ability to operate independently as required and proactively manage competing priorities.What we offer you We offer rewarding careers for outstanding professionals, ongoing learning and development opportunities, a collaborative and inclusive culture, and flexible and agile work practices that focus on our people's wellbeing to drive innovation and entrepreneurship. We also believe that our business plays a distinct and vital role in helping solve important social and environmental issues; and use our unique skills and expertise to help create positive and lasting impacts for our communities.  We believe diversity of thought, background and experience strengthens relationships and delivers meaningful benefits to our people, our clients and communities. We are consistently recognised as an employer of choice for women, and our inclusive culture promotes the development of our people irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability.  This is an exciting opportunity to be a part of KPMG and its ongoing success. So if you want a career where you can use your deep expertise to deliver real results, talk to us first. Please apply for this position by submitting your confidential application online. Advertised: 02 Feb 2018 AUS Eastern Daylight Time Applications close: Read moreSee All",Technology Legal Counsel (In-house), 12 days ago
,Sydney,2867,"[('Headquarters', 'New York, NY'), ('Size', '10000+ employees'), ('Founded', '1987'), ('Type', 'Subsidiary or Business Segment'), ('Industry', 'Accounting & Legal'), ('Revenue', '$2 to $5 billion (USD) per year'), ('Competitors', 'PwC, Deloitte, EY')]",KPMG Australia,3.8,Australia,"Consulting opportunity (Consultant / Senior Consultant / Manager)Data Scientist / Engineer / Analyst - R / Python / MATLAB or Java / Node.js / NoSQL / HTML5 or SQL / Alteryx / Tableau / QlikMultiple positions available - Melbourne, Sydney and CanberraFlexible working options available KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex  challenges, steer change, strengthen, transition and grow. We are looking for talented people who share our purpose of inspiring confidence and empowering change for our clients, our  people and our communities.  You will work in a rapidly growing part of KPMG's Management Consulting Practice with projects that span multiple locations and industry sectors.  Our highly skilled Data & Analytics team helps our clients to use their data resources for creating value, enhancing competitiveness and driving business decisions. Within Data & Analytics  We provide unique services through delivering consulting projects, custom analytics work, proofs of concept, fantastic face to face and on-line trainings and accreditations for our brightest minds around data and advanced analytics. Your new role Our team is seeking data analytics specialists to support our ambitious growth strategy. Working in our team you'll be mixing with some of the brightest minds while working on significant commercial projects - solving real world problems at some of the nation's most respected companies, using some of the most exciting and interesting data you wouldn't normally have access to.  You'll be working collaboratively within a team environment and building strong client relationships.  Joining our team you'll be working across projects that are applying data solutions to solve client problems by: Solving challenging problems with advanced Data Science and Machine Learning techniques - using statistical tools like R, MATLAB, Python, SAS and SPSS.Building solutions using technologies like Java, Python, Node.js, NoSQL databases - leveraging Big Data platforms like Hadoop, Spark on Amazon AWS and Microsoft Azure.Developing innovative web and mobile applications using HTML5, CSS and JavaScript (D3, jQuery, Bootstrap and React).Working with emerging and innovative digital solutions, including Artificial Intelligence, Blockchain process bots and natural language processingYou bring to the role We are open to candidates of all skill levels and experience.You will describe yourself as one of these analytics roles and bring relevant experience in your chosen area: Data Scientist: Using Data Science techniques and Machine Learning skills over Big DataData Engineer: Engineering modern data solutions or pipelines to facilitate advanced analytics, visualisation & interactive data applicationsData Analyst: Analysing and business consulting with data - using relational databases (SQL), data workbench & visualisation tools for project delivery, applying business logic and interpreting results You'll demonstrate your experience in a consulting environment and/or experience within industry where you have developed your subject matter expertise and led others. You'll need to bring an ability to work collaboratively within a team environment and to build strong client relationships. We're looking for talented people, team players and progressive thinkers who can communicate their ideas convincingly. You will:Have a questioning mind and lots of bright ideasBe a critical thinker with strong analytical and problem solving skillsBe comfortable with manipulating and combining large, high dimensional datasets from multiple sourcesHave an ability to interpret findings and identify key insights to communicate to a non-technical audienceHave demonstrated experience building relationships with internal and/or external clientsBe passionate about delivering high quality workWhat we offer you We offer rewarding careers for outstanding professionals, ongoing learning and development opportunities, a collaborative and inclusive culture, and flexible and agile work practices that focus on our people's wellbeing to drive innovation and entrepreneurship. We also believe that our business plays a distinct and vital role in helping solve important social and environmental issues; and use our unique skills and expertise to help create positive and lasting impacts for our communities.  We believe diversity of thought, background and experience strengthens relationships and delivers meaningful benefits to our people, our clients and communities. We are consistently recognised as an employer of choice for women, and our inclusive culture promotes the development of our people irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability.  This is an exciting opportunity to be a part of KPMG and its ongoing success. So if you want a career where you can use your deep expertise to deliver real results, talk to us first. Advertised: 14 Feb 2018 AUS Eastern Daylight Time Applications close: 25 May 2018 AUS Eastern Standard Time  Read moreSee All",Data & Analytics - Expression of interest - Various levels, 10 days ago
,Sydney,1254987,"[('Headquarters', 'Sydney, Australia'), ('Size', '51 to 200 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Unknown'), ('Revenue', '$1 to $5 million (USD) per year'), ('Competitors', 'Unknown')]",Hive Empire,None,Australia,"Full-Stack Developer - HiveEx Seeking a Full-Stack Developer with an awesome business sense and three or more years of development experience across front end, back end and mobile. About The Role Hive Empire Ventures, a sister company to finder.com.au, one of the largest Australian comparison websites, is seeking an expert Full-Stack Developer who’s ready to jump in and smash out awesome new applications and features at speed (using whatever language works best for the project - anything from Python to Javascript, Swift, C++ and SQL).  Hive Empire Ventures is all about finding massive new opportunities in a number of digital markets, particularly in cryptocurrency, and owning it. We move fast and need a developer who can move fast with us.  You’ll be working directly with the CEO, Business Manager and designers to help build scripts, databases, websites and mobile applications across both iOS and Android. Key Duties & ResponsibilitiesUnderstand business problemsCode solutions to business problemsDeploy solutions to business problemsDevelop MVPs for new products, and then build on themCode scripts to do anything from trading to website scrapingGet code live multiple times per dayBe proactive and help find and build new business opportunitiesSkills & Experience3+ years of development experienceStrong knowledge of the cryptocurrency and blockchain worldAbility to build scripts and scrape web dataAbility to create APIs for our productsExperience programming with Swift for iOS developmentAbility and desire to use and extend Git tools (GitHub, Bitbucket) to enhance workflowThe ability to look into the wider market and find technical gaps we can capitalise onBe able to think like a customer, and build products that provide an amazing user experienceKnowledge of Front End technologies beneficialSolidity and/or blockchain development experience beneficial, but not required Read moreSee All",Full-Stack Developer, 27 days ago
,Sydney,1651,"[('Headquarters', 'Redmond, WA'), ('Size', '10000+ employees'), ('Founded', '1975'), ('Type', 'Company - Public\r\n                                    (MSFT)'), ('Industry', 'Information Technology'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Google, Amazon, Apple')]",Microsoft,4.1,Australia,"Lead Application Innovation and Modernisation – DevOps, Customer-Facing Apps, Internal Business Apps, Blockchain, & Gaming – on Microsoft Azure. Microsoft’s focus on application development, “Any Developer. Any App. Any OS.”, and PaaS services is core to the continued, triple-digit growth of Microsoft Azure.  This role will be accountable for setting and driving the strategy for the Application Innovation business within Microsoft Australia to win the enterprise developer ecosystem, grow PaaS services revenue, and drive adoption of Microsoft tools and platforms in the Enterprise. The right candidates will demonstrate a strong understanding of the product set and be an external spokesperson for application innovation on Azure. This individual will understand commercial application development and have a development background.ResponsibilitiesProduct Evangelism (40%)Plan and execute activities that promote commercial application development on Microsoft Azure.Maintain product knowledge and evangelize as a subject-matter expert internally and externally.Create a business plan and make investment decisions for Microsoft’s developer engagement.Be the voice of the developer by delivering timely feedback that shapes our engagement strategy.Business Orchestration (40%)Identify and orchestrate strategic market-making plays. Own local business management strategy, partnering with fellow leaders to interpret market opportunity and risk.Determine key insights and asks to accelerate adoption of Microsoft Azure back into subsidiary leadership team.Go-To-Market Planning (20%)Own the local product marketing strategy for Application Innovation and Modernisation on Azure.Conduct reviews across the business to drive aligned execution with Engineering and Business peers.QualificationsPassion for technology and understanding of commercial application development.Minimum of 5-7 years of related experience in software business development, sales, and partner management with a consistent track record of meeting and exceeding your revenue and growth commitments.Understand software development principles and have a proven record of building technical relationships within developer community.Exceptional leadership skills and team building, decision-making, conflict resolution, and follow through.Results-driven with exceptional presentation, verbal, and written communication.Bachelor’s Degree required. MBA a plus, relevant fields of study include Business, Computer Science, and Marketing.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. Read moreSee All",Application Development & Innovation Lead, 5 days ago
,Sydney,1613426,"[('Headquarters', 'New York, NY'), ('Size', '201 to 500 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', '$25 to $50 million (USD) per year'), ('Competitors', 'Unknown')]",Consensys,4.6,Australia,"ConsenSys is a decentralised organisation operating to a Holocracy model. We are a global remote first and tech first organisation with over 600 employees and growing fast. All People and Talent initiatives will require a customised and tailored approach. The opportunities for growth and learning are endless. You will be creating programs that have never existed before...ever! If you are already familiar with Holocracy, or mesh/hub and spoke operating models, you'll know that there aren't many companies in the world that work this way.  This is not a role for the faint of heart, but for the right individual the opportunity is compelling. This role will be charged with building out a world class People and Talent program for the APAC region and will work closely with the People Leads in other regions so that all programs are complimentary. Not only this, but you'll also play a key part in how our organisation grows globally as we continue to expand as the worlds largest blockchain venture production studio. There'll never been a better time to join us! About ConsenSys: ConsenSys is the worlds largest blockchain venture production studio focused on developing cutting edge applications across all major industry sectors, investing in disruptive startups, and consulting global organisations / governments on decentralised technologies powered by Ethereum. Our mission is to use these solutions to power the emerging economic, social, and political operating systems of the planet.  ConsenSys is building the future of identity, financial markets, commerce, security and infrastructure, and more. If you are someone that thrives in a fast-paced environment where being self-directed, determined, and resilient are a requirement, we would love to hear from you.  Our venture studio model includes an evolving project evaluation process that you will need to enhance and be part of. This includes funding individual projects, evaluating performance, establishing legal entities and ultimately spinning out certain initiatives into standalone companies. We have created over 20 such projects at the moment, and have already successfully venture funded one spin-out, and completed or are in development on several token launches for funding projects and companies.  Our Enterprise customers are some of the largest companies and financial institutions in the world. We are the driving force behind two major industry consortia, the Enterprise Ethereum Alliance and Accounting Blockchain Coalition, and contribute significantly to the governance and operations of both. We also anticipate one or more significant external funding events over the next year, potentially leveraging innovative, blockchain based financing as part of our capital structure. And to enable scaling, you will need to help develop the processes we need to insure the smooth operations of our company. Responsibilities:Consult and develop leads on initiatives to maximize employee engagement and satisfactionUnderstand and adapt to changing business conditions and recommend employee retention strategiesContribute to various international and local projects such as organizational change projects, education, onboarding, and technology projectsCoach leads on initiatives such as career management and development actions, and on matters such as disciplinary actions, change and conflict management, and terminationsWork on salary review and incentive processes, and prepare analysis of internal and external benchmark data to provide a basis for decision-makingManage visa process for international new hires and current staff (including application process, monitoring updates in Visa Conditions particularly in Australia)Work with teams and employees to understand development needs to improve and design the learning and development programsProvide a safe space for employees to learn and growAbout you:You will have a personal interest or experience in decentralised organisations, ideally with an awareness of the principles of Holocracy - you'll be excited by the prospect of building out processes and ways of working that reflect and enable this approachSignificant people leadership experience, with relevant tertiary qualificationsProven experience building People functions and teams from scratch in a rapidly scaling international organisation, including:Company entities and employment law across APAC region (specifically Australia, Singapore and Philippines)Employment contractsGlobal mobility (sponsorships & visas)Reward & RemunerationEmployer brandingTalent ManagementOnboarding processesPerformance ManagementA strong focus on employee relationsAbility to lead by example and effect changeResults driven with strong analytical skillsKind, humble, and thoughtful - we have no egos hereAbility to focus on the details, but also understand the bigger pictureInterest in new technology, Blockchain, and/or EthereumMultiple languages would be a plus, but this isn't a mandatory requirement Read moreSee All",People (HR) Director APAC, 17 days ago
