average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty is developing a platform that allows users to create smart contracts on any compatible blockchain without having programming knowledge.As Etherpartys first Technical Project Manager, you will be a key member of our development team to ensure the team has everything they need to succeed. In this role, you will:Project manage: organize, plan, track, and report development activities, maintain a development backlog and plan sprints, gather estimates, and communicate targets and deadlinesRemove blockers for your team and build team members up for successCarry features from design handoff through to launch and beyondWork with key leaders on resource planning and the product roadmapProvide risk assessment services and offer recommendations for improvementCommunicate changes in priorities or timelines to the senior teamAs an ideal candidate, you have:3+ years of project management experience in an agile software development environment ideally with open source technologyExperience implementing project management principles and methodologiesWorked with different project management tools and are exceptionally organizedLed collaboration within growing development teams ideally with a tech startupExperience or knowledge of Blockchain technologyIf this role sounds like a match, we want to hear from you! Apply with your resume and briefly tell us about yourself.More about UsEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.Benefits* Modern office centrally located in downtown Vancouver.* Convenient access by car, bus, bike (with secure bike room), or SkyTrain.* Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.* Performance electronic height-adjustable desks and ergonomic chairs.* All Mac workstations with all the tools and goodies you need.* Monthly public transit pass reimbursement.* Learning and professional development budget to help advance your career.* Extended medical benefits, including dental and vision care.* Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation. * Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.* Robots! Read moreSee All",Technical Project Manager (Blockchain Technology), 5 days ago
,Winnipeg,112544,"[('Headquarters', 'Calgary, Canada'), ('Size', '1001 to 5000 employees'), ('Founded', '1958'), ('Type', 'Private Practice / Firm'), ('Industry', 'Accounting & Legal'), ('Revenue', '$500 million to $1 billion (USD) per year'), ('Competitors', 'Grant Thornton, BDO')]",MNP LLP,3.5,Canada,"At MNP we pride ourselves on being different – it’s our entrepreneurial drive that sets us apart. It’s the same drive that’s helped us become Canada’s fastest growing national firm. We foster collaboration, value your ideas, promote based on talent, live balanced lifestyles and make time for FUN. We are one firm, one team, collaborating to support you wherever you want to take your career.  Join the momentum. We are seeking a Blockchain Software Architect for our growing Technology Consulting team. Our Consulting team works with organizations in the public, private and not-for-profit sectors to provide innovative strategies tailored to maximize efficiencies, enhance performance and increase profitability. Specifically, our recognized Technology Consulting team works with clients to translate technology issues and opportunities into meaningful results that meet organizational needs. Performance ExpectationsLead client Blockchain ideation and solution design sessionsDesign and assist in the specification for new blockchain software solutions for external clientsCreate high-level architectural specifications and address problems of systems integration compatibility – particularly within Blockchain environmentsPerform research for use within business cases and the potential project feasibility to managementCreate architectural designs based on client input and feedbackManage the technical environments for Blockchain POCs, Pilots and development environmentsAssist in the development and deployment of Blockchain solutions with other team membersDevelop a thorough understanding of MNP’s services, businesses and industryContribute to the development of new ideas and approaches to improve work processesAttend internal MNP courses to further develop your technology consulting knowledgeCredentialsCompletion of a degree in computer science or engineering is preferred, or combination of a degree/diploma, plus experienceA minimum of eight (8) years of experience in IT, including hands on development of software solutions in a web-based environmentStrong sense of ownership and passion for building scalable, flexible, secured and easy-to-maintain solutionsDeep technical expertise and hands-on architectural experience in delivering large scale commercial enterprise software systems or large scale online servicesExperience with Full stack and understanding of block chain would be beneficialPassion for building a strong engineering culture and operational excellenceAdvanced knowledge of data structures and at ease in optimizing algorithmsExperience with some combination of following DLT related technologies: Hyperledger Fabric, Node.js, Go, Composer, Ethereum, Solidity, Truffle, web3.js, Geth, Corda, NEOCore Competencies and Personal CharacteristicsIntegrity – professional whose honesty, integrity, confidentiality and high ethical standards contributes to effective leadership and optimal business relationshipsEnergy – displays enthusiasm, optimism, drive and passion while maintaining a high level of productivity and a balanced lifestyleDiversity – understands the importance of different backgrounds, perspectives and experiences and is respectful of individual differencesCommunication – effectively expresses ideas and conveys information in business writing, conversations and interactions with othersClient Service Excellence – understands the importance of quality client service by being courteous, responding to client requests in a timely manner and monitoring satisfactionTeamwork & Relationship Development – works collaboratively with team members in order to achieve a common goal and develops, maintains and strengthens relationships with others, both inside and outside the FirmAccountability – takes responsibility for one’s own performance by setting clear goals and tracking progress against those goals; is highly organized and uses personal judgement and decision makingFlexibility – effectively manages multiple assignments, adapts to changing priorities and is able to work independently or as part of a teamResearch & Analysis – questions inconsistencies in information and generates workable solutions by analyzing, gathering and organizing relevant informationInitiative – highly motivated self-starter who takes initiative with minimal supervisionFostering Innovation – develops, sponsors, and/or supports the introduction of new and improved methods, products, procedures and technologies MNP encourages a balanced lifestyle and offers benefits that suit the way our team members work and play! In addition to a competitive salary, our total rewards package includes paid personal days, wellness program initiatives, health and dental benefits, a group pension plan with matching contribution, firm sponsored social events and professional development assistance.  MNP proudly serves and responds to the needs of our clients in the public, private and not-for-profit sectors. Through partner-led engagements, we provide a collaborative, cost-effective approach to doing business, with innovative strategies to help organizations succeed across the country and around the world. #LI-KM1 Read moreSee All","Blockchain Software Architect, Technology Consulting", 4 days ago
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"The Vanbex Group is the thought leader in blockchain consulting. We provide professional and business consulting services to help incubate innovators in the developing marketplace of smart contracts and supporting applications.A Vancouver-based consultancy that believes in decentralized solutions to reshape technology, the Vanbex Group has already helped raised more than $100 million for our clients.The Vanbex team has tripled in size in the past six months, and we are still growing. We are now seeking an experienced writer to help us develop online content for your clients.As an ideal candidate, you have meticulous research skills across a wide a variety of industries writing long and short copy for marketing contents, including blogs, newsletter, slide decks, white papers, Twitter, and the entire social media gamut. About the role: Experience is also not necessarily gauged by years of writing. If you are a prolific writer with a substantial and growing portfolio wed like to hear from you.Experience with blockchain is highly valued, but not necessary. More importantly, you have shown an interest in learning about new industries and emerging technologies.Youre great at working with minimal direction, although your work will be carefully edited before publication. If you have proven self-edit experience, or have written extensively for industry news style publications all the better.Accuracy is important in all aspects of your work. Being able to condense highly technical material into a piece that is easy to understand is required.A Bachelors degree in Journalism or a similar major would be ideal, but we will also consider someone with specific experience in blockchain and cryptocurrency.Experience with regulatory bodies in the investment, health, and government sectors is a bonus.If you meet these requirements, and this position sounds challenging and interesting, please send your resume along with links to your portfolio. Your work will speak for you, so please carefully consider what you send us.Working with UsWe are a start up, so the pace is extremely fast, but so is the gratification to contribute new ideas to how the world does business. Consequently, you need experience working in an environment where you have multiple projects on your agenda, and can balance your output accordingly.Our office is pet friendly and our work schedule is flexible, with benefits.More about UsVanbex is a leading blockchain consultancy, marketing and communications firm based in Vancouver, Canada. Our team is a diverse group of blockchain and cryptocurrency specialists bringing hands on knowledge and strategic consulting behind the scenes. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.BenefitsModern office centrally located in downtown Vancouver.Convenient access by car, bus, bike (with secure bike room), or SkyTrain.Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.Performance electronic height-adjustable desks and ergonomic chairs.All Mac workstations with all the tools and goodies you need.Monthly public transit pass reimbursement.Learning and professional development budget to help advance your career.Extended medical benefits, including dental and vision care.Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation.Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.Robots! Read moreSee All",Writer - Emerging Technology (Blockchain), 11 days ago
,Toronto,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty will be launching a platform that allows users with zero smart contract programming knowledge to create smart contracts on any compatible blockchain.Etherparty has an exciting product management opportunity on our newly formed Research and Development team. As the first Technical Product Manager on the team, you will help drive success by uncovering product opportunities through innovation, rapid experimentation, early user testing, and idea incubation.As Technical Product Manager, you will: Understand the mission and purpose for the R&D team and ensure activities are aligned with the mission and purpose.Manage the end-to-end development life cycle from strategic planning to tactical activities for blockchain products.Work with researchers to identify viable business opportunities and collaborate with design, software development, customer experience, and marketing teams about prioritization and roadmap process.Develop the technical roadmap and prioritize a backlog of ideas and opportunities.Share research knowledge and outcomes within the company as well a the community.As an ideal candidate, you have:3+ years of product management experience working with agile software development teams.Proven ability to validate ideas and product opportunities in various ways including AB testing, prototyping, MVPs, etc.Experience working with R&D teams or with a growing tech startup.Experience with open source projects with languages for blockchain technology such as Golang, Solidity, Python, or Java.Experience or knowledge of in blockchain technology from a business perspective.If this role sounds like a match, we want to hear from you! Apply with your resume and briefly tell us about yourself.More about UsEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.BenefitsPerformance electronic height-adjustable desks and ergonomic chairs.All Mac workstations with all the tools and goodies you need.Monthly public transit pass reimbursement.Learning and professional development budget to help advance your career.Extended medical benefits, including dental and vision care.Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation.Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.Robots! Read moreSee All","Technical Product Manager, R&D (Blockchain)", 11 days ago
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty is developing a platform that allows users to create smart contracts on any compatible blockchain without having any programming knowledge. As our team continues to grow, were looking for a Quality Assurance Engineer who can lead the quality assurance efforts of our Etherparty product line. The role will require initiative and experience to assist our company as it grows from building prototypes to a sustainable product.As Quality Assurance Engineer, you will:Work with the product team to review requirements and specifications and with the development team on the technical design documents to provide timely and meaningful feedback with any required integration testsCreate appropriate test plans and test cases for an agile development environmentIdentify and track bugs and perform thorough regression testing once theyre resolvedTrack and analyze quality assurance metrics like defect densities and open defect countsAs an ideal candidate, you have:3+ years of professional QA experienceStrong knowledge of software QA methodologies, best practices, tools and processesHands-on experience with defining test strategy, writing test plans, test execution and designing, implementing and maintaining high quality test automation for both web applications and back end servicesExperience with performance and/or security testing (white box and black box testing)Familiarity in one or more of the following web technologies: Node.js, Go, Python, React, Angular, Redux, VueJS, Bootstrap, Docker, PSQLFamiliarity with smart contracts, cryptography and EthereumBachelors Degree in Computer Science and/or equivalent experienceIf this role sounds like a match, we want to hear from you! Apply with your resume, GitHub link, and anything else that would help us get to know you.More about UsEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.Benefits* Modern office centrally located in downtown Vancouver.* Convenient access by car, bus, bike (with secure bike room), or SkyTrain.* Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.* Performance electronic height-adjustable desks and ergonomic chairs.* All Mac workstations with all the tools and goodies you need.* Monthly public transit pass reimbursement.* Learning and professional development budget to help advance your career.* Extended medical benefits, including dental and vision care.* Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation. * Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.* Robots! Read moreSee All",Quality Assurance Engineer (Blockchain), 18 days ago
,Toronto,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty is developing a platform that allows users to create smart contracts on any compatible blockchain without having any programming knowledge. Were working on Research and Development for a number of other blockchain products.We're looking for Full Stack Solidity Developers to join our high performing engineering team. You will work on innovative features of our core products and will address intriguing challenges associated with distributed systems running at scale.As Full Stack Solidity Developer, you will: Develop and test smart contracts and programming efforts on Ethereum blockchainCollaborate with other blockchain engineers in an agile environment to develop exciting new solutions with blockchain technologiesDesign and optimize scalable, robust services that will run at scaleOwn feature implementations and maintain a continuous integration pipelineHelp improve our code quality through writing unit tests, automation and performing code reviewsMonitor and manage cloud servers and other infrastructures/toolsAs an ideal candidate, you have:3+ years of professional experience as software engineer with at least a year of experience with Solidity programmingExperience in one or more of the following current blockchain development libraries and frameworks: Truffle, Embark, Web3.js, ethers.js, OpenZeppelin, DapphubStrong emphasis on security and understanding of all potential exploits pertaining to SolidityExperience in one or more of the following web technologies: Node.js, Go, Python, React, Angular, Redux, VueJS, Bootstrap, Docker, CoreOS, RocksDBStrong understanding of smart contracts, cryptography, Ethereum and JavascriptFamiliarity with Github, DevOps and cloud server technology such as DigitalOcean, AWS, or AzureBachelors Degree in Computer Science or Computer Engineering and/or equivalent experienceIf this role sounds like a match, we want to hear from you! Apply with your resume, GitHub link, and anything else that would help us get to know you.More about UsEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more. Read moreSee All",Full Stack Solidity Developers, 3 days ago
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"The Vanbex Group was established in 2013 as a strategic consulting firm to better tell the story of digital currency and blockchain-based companies. We have since evolved into a blockchain-based products and services firm, specializing in all aspects of the industry.We have tripled in size in the past six months and as we continue our mission to become the global leader in blockchain consulting, we are seeking an exceptional Public Relations Manager to join us on our journey. About this role:As Public Relations Manager, you will strategize and implement effective and creative PR strategies and campaigns to engage and grow our audience. Using tools like Cision and Google Analytics, we will look to you to coordinate PR calendars and strategies to increase conversion rates, build key relationships, and gain coverage in mainstream media outlets.As Public Relations Manager, you will:Work together with our marketing lead and senior management team to develop the overall PR strategy of our companyDevelop and execute public relations/social media strategies to meet clients' goals and objectives Monitor and measure the success of PR activities and prepare media tracking reports and analysesProactively support, promote and enhance our external identity as well as our clients/partnersCreate content for press releases and media pitches for top-tier media in both Canadian and international marketEvaluate opportunities for partnerships, sponsorships and advertising on an ongoing basisKeep up to date with industry trends on blockchain technology and cryptocurrency and make appropriate recommendations regarding communication strategy surrounding themAs an ideal candidate, you have:3+ years experience in a PR/Communications role for technical or SaaS/SaaP products (ideally B2C)Demonstrated success in developing successful PR campaigns including press coverage from key mediaOutstanding written, oral, and presentation skills (editorial experience is a plus)Strong relationship building skillsDiploma/degree in Public Relations, Communications, Marketing, Journalism, or relevant industry experienceA keen interest in emerging technology especially in blockchain technology and cryptocurrencies If this role sounds like a match, we want to hear from you! Apply with your resume and briefly tell us about yourself.More about UsVanbex is a leading blockchain consultancy, marketing and communications firm based in Vancouver, Canada. Our team is a diverse group of blockchain and cryptocurrency specialists bringing hands on knowledge and strategic consulting behind the scenes. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.Benefits* Modern office centrally located in downtown Vancouver.* Convenient access by car, bus, bike (with secure bike room), or SkyTrain.* Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.* Performance electronic height-adjustable desks and ergonomic chairs.* All Mac workstations with all the tools and goodies you need.* Monthly public transit pass reimbursement.* Learning and professional development budget to help advance your career.* Extended medical benefits, including dental and vision care.* Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation. * Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.* Robots! Read moreSee All",Public Relations Manager (Blockchain), 10 days ago
,Toronto,354,"[('Headquarters', 'Armonk, NY'), ('Size', '10000+ employees'), ('Founded', '1911'), ('Type', 'Company - Public\r\n                                    (IBM)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Amazon, Accenture, Microsoft')]",IBM,3.6,Canada,"Job Description IBM Global Business Services (GBS) is a team of business, strategy and technology consultants enabling enterprises to make smarter decisions and providing unparalleled client and consumer experiences in cognitive, data analytics, cloud technology and mobile app development. With global reach, outcome-focused methodologies and deep industry expertise, IBM GBS empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.  In this exciting role, you will have the opportunity to discover new technologies and expand your skills. Do you want to be part of a highly talented team working with new and emerging technologies new business models that improve people's lives? IBM Global Business Services is looking for Blockchain Developers with experience in Financial Markets and one or more of the Blockchain technology platforms, such as Hyperledger Fabric or Ethereum to join our innovative team.  As our customer's needs grow and change, IBM is committed to developing a workforce that can grow and change accordingly. We are looking for enthusiastic, motivated, flexible team members who will embrace the opportunity, take ownership and want to be at the forefront of driving change in a working environment that enables smarter, collaborative, fact-based decisions, improves productivity and efficiency, and drives results while working in a dynamic team environment. Role Description: As an Blockchain Application Developer at IBM, you'll team with some of the best minds in the industry to create innovative high-quality solutions focused on clients' business needs. You'll do this using your systems knowledge and expertise to design and model applications, develop application solutions, and integrate them with packaged or legacy applications. Responsibilities include:Analyze the problem from a business and IT perspective;Help gather requirements for the proposed business solution;Help conceptualize and develop relevant use cases for client engagements: proof-of-concepts (POC), proof-of-value (POV), and production deployments;Design and develop exciting new innovative solutions with Blockchain / Distributed Ledger technologies (IBM and non-IBM);Lead development activities for the blockchain development team;Code in various fit to purpose languages for Hyperledger Fabric end-to-end solutions such as Go, Node, Angular, JavaScript, Java;Testing and deploying a Blockchain solution through all phases of a development life cycle;Assist with deployment of the application;Keep abreast of new technologies in the Blockchain space;Interact with the client and team to build solutions;Mentor junior developer.Note: This role is to be restricted to Canadian citizens and Canadian Permanent Residents only.  Required Technical and Professional Expertise At least 5 years experience with development process;At least 5 years experience as a full stack developer with experience in JavaScript, Angular, Node, HTML5, CSS, JSON and one or more of Go/Python/C/C++/Java languages;At least 4 years of experience in an industry developing software;At least 2 year of experience Developing prototypes and proof of concept;At least 2 years of experience developing distributed applications and API integration;At least 2 years of experience using versioning tools (Github);At least 2 years of experience working in Agile/Scrum;At least 2 years of experience in database technologies (e.g. Couch DB/SQL);At least 1 year of experience with cryptography and public key infrastructure (PKI);At least 6 months experience developing Blockchain applications or proof-of-concepts (POCs) using Hyperledger Fabric or Ethereum or other blockchain platforms. Preferred Tech and Prof Experience Experience developing applications using cloud based platforms/micro-services;You are involved in developer community groups;Mobile application development is a plus;Experience in Financial Services: Banking, Insurance, Capital markets;Experience with Hyperledger Fabric v1.0. EO Statement  IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.  Read moreSee All",Senior Application Developer Blockchain, 3 days ago
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty is developing a platform that allows users to create smart contracts on any compatible blockchain without having any programming knowledge.Your MissionAs a brilliant new addition to the Etherparty design team, your mission is to create compelling designs that delight our users and educate the world on blockchain technology. As Graphic Designer, you will:Assist in building brand guidelines, establishing usage and style conventions across social media, blogs, websites and print materials.Create web banners and digital campaign collateral to promote Etherpartys products.Work with our marketing team to plan and design assets for blog and social media, paid media, and conferences materials. Help craft Etherpartys brand and visual identity. As an ideal candidate, you have:A portfolio of design work across various formats and visual identities that excites us! (Please share a link to your work)3+ years of professional experience in a design role with cross-functional teamsProficiency in Creative Suite, especially Photoshop, Illustrator and InDesignA willingness to learn about digital assets and blockchain technologyNice to haves:Light motion graphics experience in Adobe After EffectsExhibition design experienceBasic understanding of Web DesignIf this role sounds like a match, we want to hear from you! Apply with your resume, portfolio and briefly tell us about yourself.Why work with usEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.Benefits* Modern office centrally located in downtown Vancouver.* Convenient access by car, bus, bike (with secure bike room), or SkyTrain.* Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.* Performance electronic height-adjustable desks and ergonomic chairs.* All Mac workstations with all the tools and goodies you need.* Monthly public transit pass reimbursement.* Learning and professional development budget to help advance your career.* Extended medical benefits, including dental and vision care.* Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation. * Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.* Robots! Read moreSee All","Graphic Designer, Marketing (Blockchain)", 5 days ago
,Vancouver,1593391,"[('Headquarters', 'Vancouver, Canada'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",The Vanbex Group,4.1,Canada,"Etherparty is a blockchain technology company that develops smart contract applications powered by the FUEL token. Founded by The Vanbex Group, a global leader in blockchain-based products and services, Etherparty is developing a platform that allows users to create smart contracts on any compatible blockchain without having any programming knowledge. Were growingHaving conducted one of the most successful ICOs in Canada last year, our team is growing quickly. Were looking for an exceptional Full-Stack Golang Developer who wants to build great products. As the ideal new addition to our software development team, you are an expert in your field and can teach us a thing or two about Golang. You love team collaboration and and knowledge sharing, and you take pride in shipping high quality, well-tested code. Of course, you also have passion for blockchain technology because youll be a part of discussions and debates on the changing technology and industry.On a day-to-day, you will:Work on the core platform, developing in Golang to build scalable and robust services and work on challenges associated with distributed systems running at scaleWrite high-caliber code on a daily basis to satisfy product requirements Own feature implementations and maintain a continuous integration pipelineDocument best practices and act as a knowledgeable resource for engineering and problem solving Work with our Product team to design new and compelling end user services and productsCollaborate with engineers in an agile environment to develop exciting new solutions with blockchain technologies Partner with our team to define architecture and best practices Provide technical leadership and mentorship to your peersAs an ideal candidate, you have:Expert knowledge and experience in Golang and Web Development (youre a full-stack developer)Sample code or projects to show (if your work is proprietary please tell us what you did)Strong understanding of REST APIs and adhere to the test driven development technique (TDD/BDD)Experience with databases such as MySQL, MongoDB etc.Experience in one or more of the following web technologies: Node.js, Python, React, Redux, VueJS, Bootstrap, Docker, CoreOS, PSQL, RabbitMQ, CockroachDB, RedisBonusExperience, understanding, or strong interest in smart contracts, cryptography and Ethereum or have developed in SolidityIf this role sounds like a match, we want to hear from you! Send us a link to your GitHub account and anything else that would showcase your code.More about UsEtherparty conducted one of the most successful ICOs in Canada in the fall of 2017 and our team is growing quickly. Beyond providing an environment that encourages innovation of blockchain technology, we also offer competitive compensation and vacation days, research and experimentation time for the entire team, transit passes, subsidized lunches, and more.Benefits* Modern office centrally located in downtown Vancouver.* Convenient access by car, bus, bike (with secure bike room), or SkyTrain.* Office features: pet-friendly, beer and wine on tap, amazing coffee, snacks, subsidized lunch, and a shared gym.* Performance electronic height-adjustable desks and ergonomic chairs.* All Mac workstations with all the tools and goodies you need.* Monthly public transit pass reimbursement.* Learning and professional development budget to help advance your career.* Extended medical benefits, including dental and vision care.* Were serious about Innovation and Continuous Learning, Friday afternoons are yours to devote to discovery and creation. * Youll have access to nearly 100 learning plans to support your career growth and development of leadership competencies.* Robots! Read moreSee All",Senior Golang Developer (Blockchain), 24 days ago
