average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,Milano,663161,"[('Headquarters', 'Treviso, Italy'), ('Size', '1 to 50 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Accounting & Legal'), ('Revenue', 'Unknown / Non-Applicable per year'), ('Competitors', 'Unknown')]",H-FARM S.p.A,3.6,Italy,"Sei un brillante neolaureato in matematica/informatica/ingegneria o affini con la passione dei dati e della loro analisi e applicazione nel mondo digitale?  Se sei stufo della teoria e vuoi contribuire a creare qualcosa di nuovo sei la persona che cerchiamo.  Se poi vuoi approfondire il tema blockchain e le sue possibili applicazioni nel mondo della comunicazione digitale e non ti spaventa l'idea di scrivere delle righe di codice phyton o di usare R, allora mandaci un tuo CV e un valido motivo per scegliere te. Read moreSee All",Data Analyst Internship, 27 days ago
,Milan,2784,"[('Headquarters', 'London, United Kingdom'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Private'), ('Industry', 'Accounting & Legal'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Deloitte, KPMG, PwC')]",Ernst & Young,3.8,Italy,"Ernst & Young EY si definisce attraverso i suoi valori di integrit , trasparenza e passione. EY si concretizza attraverso il lavoro che tutti i giorni portiamo avanti con i nostri clienti, istituzioni e comunit , con i quali utilizziamo le nostre competenze di Assurance, Advisory e Transaction per creare un cambiamento positivo vicino a casa e nel mondo. Significa raccontare come guidiamo il cambiamento tecnologico e digitale per migliorare quello che ci circonda e costruire un Better Working World.  Advisory Performance Improvement è un universo di diverse expertise che aiuta I clienti a capitalizzare opportunit di crescita e ottimizzare i loro processi, qualunque sia la loro industry ancheattraverso AI, Blockchain, Automation, Analytics e Digital.  Con lobiettivo di potenziare il team Advisory Performance Improvement per la sua sede di Milano ricerca un/una  Consultant Finance Transformation Consumer Goods/Telco/Industry La risorsa verr inserita in progetti nazionali e internazionali, definendo e coordinando la trasformazione dei principali processi in ambito Finance. Si occuper di: · revisione, organizzazione e ottimizzazione dei processi di pianificazione e reporting in ambito finance; revisione, organizzazione e ottimizzazione di processi Finance e Administration  · definizione di modelli di controllo  · validazione dei nuovi processi, compresa la progettazione di KPI per misurarne l'efficacia e l'efficienza  Il candidato ideale ha maturato una precedente esperienza, 1-2 anni, presso societ di consulenza internazionali, soprattutto in ambito industrial/consumer/products/telco su progetti di Finance Transformation e shared services. Ha partecipato al disegno di modello operativo ed organizzativo e alla costruzione dei business case.  Sono richiesti inoltre una fluente conoscenza della lingua inglese.  La richiesta ha carattere d'urgenza, è richiesta pertanto la disponibilit di ingaggio immediata. Offriamo:percorso formativo strutturato e di alto livelloambiente stimolanteprogetti innovativi Sede di lavoro:Milano. Èrichiesta la disponibilit a viaggiare in Italia e all'estero  I candidati interessati sono invitati a inviare un C.V. dettagliato indicando la posizione di interesse e specificando l'autorizzazione al trattamento dei dati personali ai sensi della legge sulla Privacy (L. 196/03).  Ai sensi della normativa vigente l'offerta di lavoro si intende estesa a entrambi i sessi (L 903/77).  Inviare dettagliato cv, autorizzando al trattamento dei dati personali. La ricerca si intende rivolta a persone di entrambi i sessi (L. 903/77) Read moreSee All",Consultant ambito Finance - Industry/Consumer Goods/Telco, 18 days ago
,Italy,2784,"[('Headquarters', 'London, United Kingdom'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Private'), ('Industry', 'Accounting & Legal'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Deloitte, KPMG, PwC')]",Ernst & Young,3.8,Italy,"Ernst & YoungCosa cerchiamo: · Sei neolaureato/a o laureando/a triennale o magistrale in Informatica, Ingegneria Informatica, Matematica, Fisica  · Ti piace la programmazione e conosci almeno uno dei seguenti linguaggi: VB. NET, C++, Java, MS SQL, R, Python  · Sei appassionato di statistica e algoritmi  · Ti piace lavorare in gruppo e vorresti entrare in un network globale dove il tuo contributo possa essere davvero valorizzato  · Vuoi far parte della prossima rivoluzione digitale all'interno del nostro Centro di Eccellezza di Intelligent Automation Di cosa si tratta: · Lavorerai insieme a un team di consulenti esperti delle principali piattaforme: Automation Anywhere, Blue Prism, UiPath, Kofax, Redwood  · Contribuirai a individuare le aree di business in cui c'è maggiore ritorno sull'investimento nell'applicazione di queste tecnologie  · Svilupperai per i clienti le migliori soluzioni ad alto ritorno sull'investimento Cosa ti offriamo: · Potrai dare unaccelerata alla tua carriera in un contesto internazionale, sfidante e meritocratico, fortemente orientato allinnovazione digitale e tecnologica  · Avrai lopportunit di partecipare al nostro MBA, il Master in Business Advisory, certificato da Asfor, arricchendo il tuo bagaglio di skill professionali  · Beneficerai del Rolling Recognition, un sistema di reward che valorizza la tua crescita, premiato da Easy Welfare nel 2017 come Miglior Piano Innovativo ai Welfare Awards  · Avrai il supporto costante di colleghi senior esperti, che ti faranno da coach nel tuo percorso di crescita  · Lavorerai su progetti e tematiche allavanguardia nel tuo settore di interesse  · Potrai usufruire di modalit di lavoro flessibili e di un ricco network professionale, interfacciandoti con le prime linee delle più importanti aziende italiane ed internazionali  · Sarai tu stesso/a lartefice del tuo percorso di carriera, grazie a LEAD, il nostro innovativo sistema di sviluppo  EY si definisce attraverso i suoi valori di integrit , trasparenza e passione. EY si concretizza attraverso il lavoro che tutti i giorni portiamo avanti con i nostri clienti, istituzioni e comunit , con i quali utilizziamo le nostre competenze di Assurance, Advisory e Transaction per creare un cambiamento positivo vicino a casa e nel mondo. Significa raccontare come guidiamo il cambiamento tecnologico e digitale per migliorare quello che ci circonda e costruire un Better Working World.  Advisory Performance Improvement è un universo di diverse expertise che aiuta i clienti a capitalizzare opportunit di crescita e ottimizzare i loro processi, qualunque sia la loro industry anche attraverso AI, Blockchain, Automation, Analytics e Digital.  Advisory IT Risk Assurance anticipa i rischi e rende le organizzazioni consapevoli e preparate ad affrontarli grazie alle proprie competenze di Information Security, IT Audit e IT Compliance.  Advisory Risk anticipa i rischi e rende le organizzazioni consapevoli e preparate ad affrontarli grazie alle proprie competenze di Governance, Risk management e Compliance. Read moreSee All",Sviluppatori Intelligent Automation, 23 days ago
,Italy,4138,"[('Headquarters', 'Dublin, Ireland'), ('Size', '10000+ employees'), ('Founded', '1989'), ('Type', 'Company - Public\r\n                                    (ACN)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Cognizant Technology Solutions, EY, McKinsey & Company')]",Accenture,3.8,Italy,"Accenture REALIZZIAMO IDEE CHE FANNO LA DIFFERENZA ENTRA IN ACCENTURE CONSULTING E GUIDA CON NOI LA TRASFORMAZIONE DEL MONDO DEL BUSINESS Disegna  processi innovativi e integrali con la tecnologia digitale più all'avanguardia . Guida con noi la trasformazione e prendi parte a progetti complessi e sfidanti, collaborando con un  network globale senza eguali.  JUNIOR TECHNOLOGY ANALYST Neolaureati/e in Ingegneria, Informatica, Matematica, Fisica e Statistica Milano Le  Data Driven Company utilizzano tutti i dati a loro disposizione per creare  Business di successo. Il Come ci riescono dipende non solo dalle  idee ma anche dalla capacit di  svilupparle e renderle operative in poco tempo. Unisciti a noi per sviluppare soluzioni Innovative per rispondere alle esigenze sempre più tecnologiche e social che stanno rivoluzionando il modo di lavorare.  Cambia le regole del gioco ·  Progetta modelli operativi che sfruttino la potenza delle tecnologie emergenti come l' IA, blockchain e robotica  ·  Realizza soluzioni innovative in grado di offrire soluzioni cliente-centriche costruite sull'analisi degli  analytics ·  Ottimizza le risorse fisiche, tecnologiche e umane con l'obiettivo di ridurre il costo dei prodotti e il Time to Market  ·  Disegna processi e raggiungi le soluzioni tecnologiche applicative e infrastrutturali in grado di trasformare il business dei nostri clienti e generare valore  · Identifica le  soluzioni applicative più innovative e gestisci il customizing ad integrazione delle architetture esistenti, in base alle specifiche necessit dei clienti  · Prendi parte a progetti stimolanti nel mondo Digital, orientati allo  sviluppo di nuove soluzioni di Business per i nostri clienti  Prendi parte a progetti stimolanti nel mondo Digital, orientati allo sviluppo di nuove soluzioni di Business per i nostri clienti  Qualifications : Best People, Best Training & Best Work: start your adventure at the top Discover how you can bring your ideas and creativity to life in a y  oung, friendly, dynamic and supportive environment . Grow with us and build a fast-moving career supported by  excellent leaders . Thanks to their expertise and a  structured and personalized training , you will learn a unique, widely-recognised  working method that will transform you into a first-class professional. You will manage  complex and challenging projects within an international environment, working in an unrivalled  global network of experts.  Where there are no limits to passion, there is no limit to innovation. Inclusion & Diversity Our  Inclusion & Diversity strategy aims to break down all barriers and eliminate prejudice. We are committed to providing an accessible, inclusive, open and welcoming workplace environment for people with different abilities, backgrounds, lifestyles, sexual orientation, gender identity, needs and expectations, helping all individuals to make the most of their professional potential.  We honor our commitments under articles 1 and 18 of Law No. 68/1999 and give special consideration to candidates in  protected categories .  For further information, visit our website: professioni.accenture.it  For information on our Privacy Protection Safeguards (art13 L.196/03), click here .  Accenture is an equal opportunities employer. Read moreSee All",JUNIOR TECHNOLOGY ANALYST, 18 days ago
,Milan,10665,"[('Headquarters', 'Trieste, Italy'), ('Size', '10000+ employees'), ('Founded', '1831'), ('Type', 'Company - Public\r\n                                    (G)'), ('Industry', 'Insurance'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'AXA, Allianz, Zurich Insurance Group')]",Generali,3.4,Italy,"Stage / Tirocini - Generali  Generali is a major player in the global insurance industry a strategic and highly important sector for the growth, development and welfare of modern societies  Over almost 200 years, we have built a multinational Group that is present in more than 60 countries, with 470 companies and nearly 80,000 employees. Our Group aims to become the standard bearer and industry leader in the European retail insurance market, building on our existing base of 50 million retail clients, out of an overall total of 72 million.  The Unit Data & Digital IT is looking for an Artificial Intelligence Intern that will be responsible for:  · Define the Group data & digital IT strategy and coordinate the transformation roadmap supporting the Bus  · Develop digital capabilities within the Group to quickly spread new and established best practices  · Define the approach to digital IT transformation, and ensure the development of digital innovations (e.g. Apps, Web, Robotics, Blockchain, Tools WoW)  · Drive the consolidation of Group platforms to provide innovative services and enable strategic synergies (e.g. analytics platform)  The candidate will work on Artificial Intelligence related activities with the following main goals and accountabilities:  · scout technology maturity, evolution and adoption implications in the insurance sector, identifying the most promising and mature technologies to be adopted in the appropriate part of the insurance value chain  · analyse maturity of insurtechs in proposing AI technology and services and comparing available services in the market with internal developed capabilities  · analyse insurance products and services evolution enhanced by the use of AI and its main implications in one or more business models (retail insurance, commercial insurance, reinsurance)  · analyse the Target Operating Model and the roles and responsibilities related to a specific AI adoption roadmap, both for the IT and for the business roles.  · support the organization of internal and external events (i.e hackathon)  · support the organization in preparing AI related documentation and presentations  Qualifications : The ideal candidate will meet the following requirements:  · Bachelor or Master degree on technical topic  · Proficiency on digital technologies and trends  · At least basic knowledge of economics and finance  · Interest and passion for innovation and disruptive technologies  · Basics knowledge of Machine Learning, Chatbots, Image Recognition and Text Analytics  · Advanced English Skills: · Ability to work autonomously on assigned tasks  · Public speaking and ability to present Read moreSee All",Tirocinio : Artificial Intelligence Internship, 9 days ago
,Rome,328056,"[('Headquarters', 'Roma, Italy'), ('Size', '10000+ employees'), ('Founded', '1961'), ('Type', 'Nonprofit Organization'), ('Industry', 'Non-Profit'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'United Nations, FAO, UNHCR')]",World Food Programme,3.9,Italy,"This post is opened in the context of theJunior Professional Officer (JPO) Programmesponsored by the Government of Finlandand is addressed exclusively to Nationals of Finland eligible forthe Finnish JPO ProgrammeUnited Nations World Food ProgrammeABOUT WFP The World Food Programme (WFP) is the world's largest humanitarian agency fighting hunger worldwide. We are currently seeking to fill the position of Junior Professional Officer, at the P2 level, for Systems Engineering with a thematic focus on digital systems development, integration, rollout and field support, based in the Market Access Programme Unit of the Policy and Programme Division of WFP Rome Headquarters, Italy. CONTEXT AND BACKGROUND As one of the global leaders in Cash-Based Transfers (CBT), in 2016 WFP delivered the largest portion of all of the cash-based transfer humanitarian assistance globally (a total of US$880 million); and scaled-up further in 2017 by delivering an estimated US$1.4 billion to beneficiaries.  To deliver CBT assistance, WFP works through partnerships with more than 70 commercial Financial Service Providers (FSPs) including banks, micro-finance institutions, mobile money operators and money transfer agents, in addition to using WFP’s own delivery platform SCOPE. Due to the magnitude of WFP’s CBT transfers, and its reliance on partnerships with external service providers for transferring funds, it is a priority for the Organization to ensure the robustness and inter-operability of its digital systems in order to ensure accountability for funds as well as to better inform programme design through digital analysis of data emanating from CBT operations.  The overarching objective of WFP’s digital systems development is to deliver better and more accountable CBT assistance while also supporting partners (including governments) to build or optimize their own systems to ensure that long-term sustainable support and social protection is available for WFP’s beneficiaries. WFP intends to “digitally know” its beneficiaries and their needs and preferences and the impact of projects and operations over time on families and local sectors (i.e. financial, markets, etc.). This knowledge will be possible only with a safe, seamless, perpetual flow of data and information between all departments, divisions, units, and teams across WFP and its partners. It will need to be enabled by the latest proven technologies, systems, and processes to gather, organize, share, analyze, and transform data into knowledge and evidence for responsible and informed programmatic decision making.  WFP is seeking the support of a JPO with skills in Computer Systems Engineering to help design, integrate and optimize aspects of WFP’s corporate digital systems used for digital transfer, payment cycle reconciliation and comprehensive data analysis. Following the systems development phase, the JPO will be involved in coordinating and supporting the rollout of new digital systems in WFP operations in the field worldwide. GENERAL INFORMATIONTitle of Post: Systems Engineering Officer (JPO)Grade: P2Supervisor: Senior Policy and Programme OfficerUnit: Market Access Programme UnitCountry: ItalyDuty Station: Rome (with field missions)Duration of assignment: Two yearsDUTIES AND RESPONSIBILITIES Under the direct supervision of the more senior Policy and Programme Officer, the JPO will perform the following duties: Identifying, evaluating and prioritising WFP’s digital systems requirements of its various clients/users and workstreams;Drafting designs of digital systems architecture based on the identified requirements;Detailing the technical requirements for digital systems development and integration;Working closely with WFP’s subject matter experts (field/operations staff) and technical systems developers to help drive the development and integration of digital systems;Supporting and troubleshooting the development and piloting of WFP digital systems in HQ and in WFP operations;Liaising with WFP Regional Bureaux and Country Offices to coordinate the development, piloting and rollout of WFP digital systems;Supporting the rollout of emerging digital systems and ensuring coherence with existing country systems and programme objectives;Supporting the training of clients/users of emerging digital systems;Assist in drafting guidance manuals and support tools for clients/users of digital systems;Liaising with colleagues from other functional units in WFP Rome to integrate systems modules and functions with existing corporate systems;Providing field support by receiving and acting on feedback from clients/users of WFP digital systems during pilots or rollout of systems;Conducting on-going reasearch and exploration of relevant and available digital systems and products utilized or offered in private sectors;Reviewing and ensuring compliance with industry standards related to financial sectors, data security and WFP’s policies for beneficiary privacy and protection;Deploy on mission as required to support, troubleshoot and oversee the piloting or rollout of digital systems;Perform other related duties as required.EXPECTED OUTCOMESDefining WFP’s technical requirements for corporate digital systems related to CBT transfer management, payment cycle reconciliation and analysis;Designing corporate systems architecture and integration of corporate digital systems;Drafting technical specifications for digital systems development and integration;Overseeing digital systems development, integration and testing;Supporting the planning and facilitating of pilots of emerging digital systems;Training clients/users of digital systems, including development of training materials;Supporting the rollout of corporate digital systems in WFP operations globally.ESSENTIAL QUALIFICATIONS AND EXPERIENCEAdvanced University Degree, or University degree with experience and training/courses, in Computer Systems Engineering or a related subject;Two to three years of post-graduate job related experience in systems engineering, networking, troubleshooting, installing, configuring or developing;Proficiency in computer systems software used for networking and scripting;Proficiency in both oral and written English is a must.DESIRABLE REQUIREMENTS To perform the wide range of tasks and excel in this position, the ideal candidate would also possess: Some level of exposure to the international arena either by direct work for an international institution/organization; or, if working for a national entity, by way of interacting with international stakeholders;Good working knowledge of another official UN language (i.e Arabic, Chinese, French, Spanish and Russian);As WFP’s international professionals are required to serve in different duty stations around the world during the course of their career (including in hardship duty stations), readiness to be mobile would maximise opportunities for long-term retention into the Programme;Behavioural competencies as follows: Action Management, Client Orientation, Cognitive Capacity, Innovation, Partnering and Teamwork.SUPERVISION The JPO will be working within a small team focusing on the development and integration of CBT digital systems. The supervisor will provide clear guidance, define project priorities and share existing experience and materials which will serve as basis for the development of products. The JPO will work alongside other team members with whom he/she will share responsibilities and to whom he/she can refer if guidance or institutional experience/memory is needed. TRAINING COMPONENTS Besides regular on-the-job training and coaching, the JPO will be able to receive training on WFPs approach to Cash-Based Transfers through the inter-function e-learning course (comprising 6 training modules). The JPO will be exposed to detailed descriptions of CBT processes and business requirements emanating from field operations, and will have the opportunity to visit WFP country offices to view operations, as may be required. The JPO will have the opportunity to have an inside look at WFP’s corporate digital systems architecture, and will gain experience from presenting, sharing knowledge and interacting with a variety of WFP and partner staff from different contexts and cultural backgrounds. LEARNING ELEMENTS At the end of the assignment, the JPO should have gained: A clear understanding of WFP’s CBT delivery cycle, including standard operating procedures and digital systems requirements;A working knowledge of WFP’s individual corporate digital systems used for financial accounting, beneficiary management, transfer management and reporting and analysis;An overview of WFP’s complete digital systems architecture and digital ecosystem;A deep understanding of the assistance delivery platforms currently supported by the humanitarian sector, as well as private sectors (banks and mobile money);Knowledge and experience in managing digital project data and designing and integrating digital systems;Exposure to WFP’s new and innovative projects, such as BlockChain-based transfer platforms and use of biometrics for beneficiary identity verification;Experience in dealing with diverse audiences, ranging from WFP field practitioners, IT developers and HQ policy staff, resulting in capacity to coordinate across different actors to reach a common objective;General understanding of WFP’s overall mandate, objectives, operations and activities.PLEASE NOTE: TO BE ELIGIBLE FOR THIS POSITION YOU MUST BE A NATIONAL OF FINLAND OF MAX 32 YEARS OF AGE AT THE TIME OF APPLICATIONDEADLINE FOR APPLICATION:15 MAY 2018 WFP - Fighting Hunger Worldwide Read moreSee All",Junior Professional Officer for Systems Engineering, 25 days ago
,Argentina,762714,"[('Headquarters', 'Sunnyvale, CA'), ('Size', '201 to 500 employees'), ('Founded', '2001'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",Altoros,4.4,Argentina,"About ProtofireProtofire is a special unit within Altoros that helps token-based protocols and developer platforms accelerate growth of their ecosystems. By providing hands-on coding and contributions, Protofire specializes in supercharging developer adoption and network usage.  Our goal is to help clients ship applications, engineer elegant smart contracts, craft awesome developer tools (SDKs/APIs/sample apps), and simply improve performance/cost of oracles. We work exclusively with entrepreneurs who are builders of decentralized infrastructure protocols, applications and ecosystems.About the QA Engineer positionWe are looking for a Quality Assurance (QA) engineer who will manage exploratory and automated tests to ensure product quality. You will design and implement tests, debug and define corrective actions, review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts). Besides, you should monitor all stages of software development to identify and resolve system malfunctions to meet quality standards.  We expect you to be able to build consistent and efficient tests delivering them in-time. You should also hold an engineering background and enjoy providing end-to-end solutions to software quality problems and actively participate in open source communities and projects.QA Engineer responsibilities are: Prepare detailed, comprehensive and well-structured test plans and test casesReview requirements, specifications and technical design documents to provide timely and meaningful feedbackPlan and coordinate testing activities, thoroughly identifying and documenting bugsBuild and execute automation scripts using open source toolsOrganize testing processes for new and existing products to meet client needsCollaborate with internal teams (e.g. developers and product managers) to identify system requirementsReview debugging process resultsTrack quality assurance metrics, like defect densities and open defect countsAnalyze the causes of non-conforming software and train users to implement solutionsMaintain relevant knowledge about new testing tools and test strategiesQA Engineer requirements are:2+ years' experience of working on a QA Engineer positionSignificant experience of working in software development teams and using software QA methodologies and toolsSolid experience in writing clear, concise and comprehensive test plans and test casesSignificant experience with Load Testing, Performance Testing and Stress Testing.Experience with automated testing toolsUnderstanding of Agile/Scrum development principlesExperience with blockchain or distributed systems is a big plus.Regular contributions and participation in the open source community is also a big plus.BS or MS degree in Computer Science, Engineering or other related area Read moreSee All",QA Automation Engineer, 14 days ago
,La Plata,1058820,"[('Headquarters', 'Buenos Aires, Argentina'), ('Size', '1 to 50 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Unknown'), ('Revenue', 'Unknown / Non-Applicable per year'), ('Competitors', 'Unknown')]",Aliantec,None,Argentina,"Para empresa Argentina que desarrolla software Web, Mobile, ofreces servicios de Testing e integración de aplicaciones principalmente para empresas de Estados Unidos estamos buscando un QA Automation Tester para trabajar en relación de dependencia directa en la zona de Palermo.  Su responsabilidad será realizar testing sobre una plataforma de criptomonedas en Estados Unidos, por lo cual es indispensable tener muy buen dominio de Ingles (oral y escrito).  Las principales funciones serán realizar pruebas de regresión y caso de pruebas sobre la plataforma actual y sobre el nuevo core que se está desarrollando con base en Blockchain.  Requerimientos Experiência realizando tareas de QA de al menos 3 años. (Excluyente)- Experiência testeando plataformas web con alta recurrencia. (Excluyente) y si tiene experiência en Mobile será valorado. Experiência en Automatización de tests (Selenium) y creando scripts con Java, Python y/o algun otro lenguaje. (Excluyente). Experiência con Metodologías Ágiles. (Excluyente)- Excelente nível de Ingles oral y escrito(Excluyente) Valoramos candidatos que sean estudiantes avanzados o graduados de Sistemas / Informática o carreras afines  Beneficios Prepaga de primer nível. Home Office (2 veces por semana). Horario Laboral de 9 a 18 hrs. Read moreSee All",Qa Automation Tester, 1 days ago
,Buenos Aires,1651,"[('Headquarters', 'Redmond, WA'), ('Size', '10000+ employees'), ('Founded', '1975'), ('Type', 'Company - Public\r\n                                    (MSFT)'), ('Industry', 'Information Technology'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Google, Amazon, Apple')]",Microsoft,4.1,Argentina,"Microsoft Enterprise Services Apps Centre of Excellence (Apps COE) team in Americas is looking for a Solution Architect that can help build magical solutions for our customers to help with their digital disruption and transformations. The Apps COE team at Microsoft is responsible for leading the architecture and development of innovative, software applications as a part of our Digital Solution Innovation Process (DSIP). With an innovation focus, you should be confident in quickly developing skills in evolving technology areas with a track record of staying ahead of the curve.ResponsibilitiesAs the Solution Architect you will require both broad and deep technology knowledge and the ability to architect solutions by mapping common customer business problems to end-to-end technology solutions. You should be able to demonstrate theability to engage in senior level technology and business decision makers’ discussions related to agility, business value, and end to end information technology as a requirement. You are a key enabler for other architects, consultants and partners in our business. You need to be able to demonstrate a passion for the customer through professionalism and striving for excellence in all aspects of the customer engagement and experience. You need to be able to apply advanced analysis skills and experience in principals of architecture to define appropriate customer solutions. To be credible you should have current and deep experience with the development of large software systems. Also, you should understand competitive and open source technology and how to properly assess feasibility of migrating customer solutions from, and/or integrating with customer solutions hosted on, non-Microsoft platforms. Advanced domain knowledge in one or more vertical industry is also an asset.QualificationsYou need to be a leader with +10 years of experience in demonstrating architecture, planning, deploying solutions including the following: Proven solid experience on Azure application development /architecture, C# and .NET. Highly desired: Blockchain, Artificial Intelligence, IoT, Node.js and containers.+75% travel availability.English / Spanish fluent at spoken/written level.Proven experience selling consulting engagements which includes estimating, scoping, and writing effective statements of work that clearly set expectations and limit risk.Demonstrated excellence with consulting skills and presenting complex development topics to both business executive and technical personnel.Consistent record of building deep technical relationships with senior executives and helping to build innovative cloud solutions in large or highly strategic accounts.Consistent track record of driving decisions collaboratively, resolving conflicts and ensuring follow through with extraordinary verbal and written communication.Demonstrated excellence when facilitating customer design and awareness sessions that are focused on complex application solution architectures.Demonstrated capabilities in developing an understanding of the customer business value associated with the deployment of modern business productivity, system-to-system, and end-user applications.An ability to articulate architectural differences between solution methods and the challenges and approaches to integrating solutions built on different platforms including a working knowledge of different architectural frameworks (e.g. Togaf) that may be used by our customers.Architectural understanding of, and implementation experience with the software development of modern applications, especially cloud-based and hybrid solutions.Understand the approach, value and have the ability to lead Agile software development projects.Architectural understanding of both commercial and common Open Source solution development tools and technologies -Ability to move between high-level architectural review/design and the “roll up the sleeves” level of personally doing all phases of a software application delivery project. Helps customer account teams identify, pursue and close strategic business development opportunities while continually driving add-on business within existing projects. To accomplish this, you need to be effective in fostering executive level relationships. They also play a key role in employing and developing partners as part of the overall Microsoft services delivery model. You will help translate business requirements into technology requirements for inclusion in contracts and/or statements of work (SOW).You will be call upon to provide Technical Quality Assurance at various points along a project lifecycle. To be successful you should be able to demonstrate your experience leading projects through the entire project lifecycle. This includes managing multi-phase/multi-dimensional/multi-resource projects to conclusion while maintaining high customer satisfaction.The role requires an individual who is resourceful, confident under pressure, and has demonstrated skill in both crisis management and expectation management.You may come from an enterprise customer, partner and competing organizations and may have played the following types of roles in these organizations; Senior Architect, Chief Architect, Principal Architect or CTO. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. Read moreSee All",Solution Architect - Modern Applications, 5 days ago
,Argentina,354,"[('Headquarters', 'Armonk, NY'), ('Size', '10000+ employees'), ('Founded', '1911'), ('Type', 'Company - Public\r\n                                    (IBM)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Amazon, Accenture, Microsoft')]",IBM,3.6,Argentina,"Job DescriptionPostdoctoral Researcher AI SolutionsWork in 1 of 12 labs across the globeFixed Term Hire 24 Months ContractBased in Melbourne From landing the first astronauts on the moon to building the first AI system to win the Jeopardy! competition, IBM has been the spark of the technology revolutions that have shaped our world today.  At the core of IBMs innovation are its 12 global research labs. IBM Research - Australia is a vibrant and young community within IBM Research. The lab is primarily an industry solutions lab that focuses on conceiving, designing and building next generation systems that will transform health and life sciences and financial services with technologies such as AI, Internet of Things and Blockchain. Candidates will be joining a team of researchers and software engineers to conceive, build, test and deploy solutions for some of the worlds challenging technology problems. What will I be doing?Designing and developing novel AI techniques, including using NLP, to Financial Services and related industriesProactive both in publishing our work in top academic conferences as well as demonstrating its value with clients.Developing neural language models and publishing the outcomes in top academic conferences. What skills do I need?Experience in developing novel NLP and/or NLG models e.g. Neural Language Models for machine translation or abstractive summarizationBreadth of knowledge in the application of machine learning outside of NLPE.g. Kaggle competition experience.What experience do I need?A Doctorate degree in computer science or related related field completed in the last two years.Experience programming with one of Python / Scala / JavaIdeal candidates will have business experience and/or a demonstrated open source profile (e.g. github)Experience with deep learning for NLP on top of open source frameworks such as (Py-Torch; Keras; Theano; Caffe; Tensorflow; DL4J)Demonstrated academic output documented via journal/conference publications in the field e.g. ACL, NAACL, COLING  Are you passionate about delivering a tailored experience in a fast moving, innovative client facing environment? Are you able to captivate an audience and paint the art of the possible? Are you keen to promote and implement new ways of interacting with and visualising data? If so, wed like to hear from you! Apply today ibm.com.au/careers Required Technical and Professional Expertise  see Job Description  Preferred Tech and Prof Experience  see Job Description  EO Statement  IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.  Read moreSee All",Postdoctoral Researcher AI Solutions, Today
