average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,"London, England",1013721,"[('Headquarters', 'London, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2011'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Coinbase, Circle')]",Blockchain,4.7,United Kingdom,"Blockchain is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time. We are looking for a Software Developer, Tools to join our development team to build and integrate best of market tools to support our world-class engineering organization. In this highly leveraged role you will build the software that enables the rest of the team to rapidly create, iterate and produce high quality software that empower users all over the world.  We are tackling some of the most interesting problems in the crypto space while rapidly and securely scaling a distributed platform that touches millions of people a day. Ultimately, we believe this combination of speed, code quality and testing are essential to our success, and it is our mission to achieve it. WHAT YOU WILL DO:Select, develop and integrate the infrastructures and tools that enable the engineering team to rapidly build, test and launch products.Develop dashboards and other reporting to enable continuous improvement of the engineering team and processes.Work closely with SRE to enable an effective transition of software from development to production.Be an advocate for best practices related to creating, maintaining and testing code.Use a wide variety of open source technologies and tools.WHAT YOU WILL NEED:The foremost quality for this position or any position at Blockchain is integrity.Strong experience creating the infrastructure and automation tools that allow other developers to succeed.You have a passion for learning new technologies.You believe that communication/collaboration is one of the most important points in an engineering culture.Good knowledge of development tools and environments.Good knowledge of best practices for web-scale infrastructure.Bonus: Experience working with, or knowledge of, the bitcoin protocol.Knowledge of continuous integration systems is a plus.COMPENSATION & PERKS:Amazing and accessible office location in the heart of London (Shoreditch) and New York (SoHo).Unlimited vacation policy; work hard and take time when you need it.Catered team lunch every Monday, Wednesday, and Friday.Apple equipment.Full-time salary based on experience and meaningful equity in an industry-leading company.London Benefits: Private Medical Insurance (BUPA), Dental, Pension, Life, Short Term & Long Term Disability.New York Benefits: Medical, Dental, Vision, 401K, Flexible Spending Account, Commuter, Life, Short Term & Long Term Disability.APPLICATION:LinkedIn profile.Link to github, stackoverflow, personal website and/or blog (if applicable).Favorite GIF Read moreSee All","Software Developer, Tools", 26 days ago
,Cambridgeshire,318757,"[('Headquarters', 'London, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2006'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$5 to $10 million (USD) per year'), ('Competitors', 'Unknown')]",Harnham,4.5,United Kingdom,"Research Data Scientist - blockchain startupCambridgeshire£50,000 - 70,000 + bonus + benefits Our client is looking for a Research Data Scientist to join this Internet of Things start-up founded by two people from deepmind, who are currently performing AI to solve future problems. You will be joining a team of researchers from top universities to be a key part of some ground-breaking, futuristic work into solving complex analytical problems. THE COMPANY: This VC-backed company is investing heavily in utilising artificial intelligence techniques to create a digital economy, developing a personalised avatar that acts on the behalf of the individual. Future plans include creating an avatar for every individual, linking them all together to share non-personalised information for the good of their owners. THE ROLE:Applying artificial intelligence and machine learning techniques to personal travel and logistics creating a digital sentient AIUsing blockchain technology to provide answers to challenging problemsLeading projects using the most advanced machine learning, deep learning and NLP techniquesYOUR SKILLS AND EXPERIENCE:The successful Research Data Scientist will have a PhD qualification in a science or science-related subject and will have published papers beforeExperience performing artificial intelligence and machine learning techniques in a research setting using Python, C++ and ScalaKnowledge of blockchain and its possibilitiesThe ideal candidate will have used state-of-the-art deep learning and machine learning techniquesTHE BENEFITS:Up to £70,000EquityFlexible workingAttractive bonusHOW TO APPLY: Please register your interest by sending your CV to Kian Dixon via the Apply link on this page. For more information about similar roles, please get in touch! Read moreSee All",Research Data Scientist - blockchain startup, 1 days ago
,"London, England",1013721,"[('Headquarters', 'London, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2011'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Coinbase, Circle')]",Blockchain,4.7,United Kingdom,"Blockchain is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time. We are looking for a Senior Product Manager to join our team to lead the design and development of new financial products for Blockchains existing and new users. This is a unique, once in a career, opportunity to deliver large scale financial systems built from scratch on open source software. We are looking for someone who has experience in, and understands the issues with, delivering state of the market internet-scale systems across multiple work streams. Experience working in FinTech or Financial Markets is a plus. WHAT YOU WILL DO:Work in collaboration with the engineering and business leaders to design and deliver complex, large scale financial systems involving multiple work streams, releases and deployments.Understand and plan for the complexity of leading across multiple teams to deliver internet-scale applications.Deploy and use best practices to measure, understand and optimize the success of the products you own. Design new features and propose improvements to existing features to maximize impact.Work well across disciplines and stakeholders to coordinate between workstreams to drive impactful product launches. Identify and communicate requirements and coordinate between these workstreams.Collect, maintain and disseminate project information to stakeholders on an ongoing basis.Manage timelines and follow multiple product roadmaps to organize timely feature releases and minimize release delays.Analyze information from the User Operations team, user surveys and usability testing to identify actionable feedback.Drive effective teamwork, communication, collaboration and commitment across multiple departments.WHAT YOU WILL NEED:You are driven, curious and proactive.Experience working on cross functional teams to deliver internet applications at scale.Ability to analyze and use data to make informed product decisions.Excellent verbal and written communication skills to write thorough feature requirement documents and work with stakeholders and upper management.Detail and design oriented and always thinking of the end-user experience.A proven track record of shipping products in a technical environment and working with developers on a day-to-day basis.Bonus: Knowledge of, or experience in, the digital currency, banking or FinTech.COMPENSATION & PERKS:Amazing and accessible office location in the heart of London (Shoreditch) and New York (SoHo).Unlimited vacation policy; work hard and take time when you need it.Catered team lunch every Monday, Wednesday, and Friday.Apple equipment.Full-time salary based on experience and meaningful equity in an industry-leading company.London Benefits: Private Medical Insurance (BUPA), Dental, Pension, Life, Short Term & Long Term Disability.New York Benefits: Medical, Dental, Vision, 401K, Flexible Spending Account, Commuter, Life, Short Term & Long Term Disability.APPLICATION:Favourite GIF.LinkedIn profile.Link to github, stackoverflow, personal website and/or blog (if applicable). Read moreSee All",Senior Product Manager, 12 days ago
,"London, England",1027878,"[('Headquarters', 'Singapore, Singapore'), ('Size', '1 to 50 employees'), ('Founded', '2013'), ('Type', 'Company - Private'), ('Industry', 'Finance'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",Luno,4.9,United Kingdom,"Luno is a leading global digital currency company operating across more than 40 countries and with offices in London, Singapore and Cape Town. Were Series B-funded and backed by some of the top tech investors in the world  Our products and services make it safe and easy for people and businesses to store, buy, use and learn about digital currencies like Bitcoin and Ethereum. Our vision is to upgrade the world to a better financial system. Luno Enterprise focuses on serving institutional and business clients including hedge funds, private wealth managers, investment and retail banks, remittance companies and online merchants, providing various products and services including institutional storage and liquidity, structured products such as ETNs, integration of various Luno APIs for buying / selling digital currencies or blockchain remittance or payments. What you'll doAs Head of Enterprise you will be responsible for building and managing the team, as well as setting the teams strategy and executing on the plan to help build this into a global market leaderEssentially, this is like a startup within a startup that will suit highly entrepreneurial candidates with strong leadership and business developement skillsWork closely with institutional customers to define needs and structure and implement the appropriate solutionsBe both the business and product owner, and be in charge of finding enterprise opportunities with the highest ROI and prioritising theseWork closely with our internal infrastructure team on product development and our country teams on business developmentBe the face of the Enterprise business, leading all press and relationship efforts with various media, partners, regulators, startup events, investors etc.Become a global and respected thought leader in the spaceWhat youll needA relevant university qualification in business or finance from a top universityBasic knowledge of and passion for digital currencies like BitcoinFive or more years work experience, preferably in consulting, investment banking, business development or strategyInternational work experience and personal network a big plusFinancial services sector experience requiredAgile and able to adapt quickly, operating in a high growth businessExcellent communication, organizational and project management skillsAbility to work between teams, functions and geographies, with high autonomyBe friendly, transparent, articulate and driven to succeed Digital currencies are rapidly changing the financial landscape, and the Luno team is at the forefront of this revolution. If youre looking to work on something truly global and disruptive with a smart and ambitious team that highly values diversity, teamwork, and the continuous quest for excellence, then this is the opportunity for you. Read moreSee All",Head of Enterprise, 7 days ago
,Derbyshire,461056,"[('Headquarters', 'London, United Kingdom'), ('Size', '201 to 500 employees'), ('Founded', '2000'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$25 to $50 million (USD) per year'), ('Competitors', 'Unknown')]",Huntress,4.5,United Kingdom,"Blockchain Architect My client, a global powerhouse within the technology industry, is looking for a Blockchain Architect to join their Connected Digital Services team - This role involves travel that can be expensed on the client.  Research, design and managing solution approach for prototype Azure solution that will track product identities and associated information along multi-organization supply chains underpinned by a Blockchain distributed ledger approach. Role will be to work with the team to research and design the blockchain solution from scratch, trialling different approaches before deciding on the final solution.  The role will work with the CDS team daily, starting with daily standups to review and redefine work items and then completing the identified tasks during the day. The role may require interacting with our external partner and visiting or even working from their sites in England as it's the best way to identify the details necessary to build a successful solution. Interaction with sponsor and team will be daily, either face to face or over skype. Travel expenses will be incurred travelling to customer sites in the north of England. What makes this role interesting? We are innovating radical new solutions to tracing products and their impacts along multi-organisation supply chains. We will be working directly with external partners to define something that will provide real value right now. Successful applicants will enjoy working on a fast, agile and challenging project to define a new solution that both delivers value on the short term and has scale potential. This work is being done to help us and our partners identify valuable new future software solutions. RequirementsBlockchain development expertise: Ethereum, Quorum, Hyperledger: 2 yearsMicrosoft Azure platform development experience: 3 yearsMicrosoft data base solutions experience: 3 yearsAs many years as possible (minimum 2) in development using the Azure platform.Experience in working in agile teams to develop prototype products.Degree in computer science or similar subject.Must be able to work with sometimes ill defined and changing goals yet constantly professional, especially when working with Partners and in their environment.Experience in the latest Microsoft developer tools essential. There will be some scope for remote work and working hours can be flexible. Core face to face work may move between locations, hence ability to travel is necessary. Huntress Search Ltd does not discriminate on the grounds of 'protected characteristics' as defined under the Equality Act and other relevant UK legislation.Huntress Search Ltd acts as a Recruitment Agency in relation to all Permanent roles and as a Recruitment Business in relation to all Temporary roles.PLEASE NOTE: We can only consider applications from candidates who have the right to work in the UK. Read moreSee All",Blockchain Architect, 24 days ago
,"Charing Cross, England",1374054,"[('Headquarters', 'Knutsford, United Kingdom'), ('Size', '1 to 50 employees'), ('Founded', '2014'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",Zoek,4.1,United Kingdom,"Senior Engineer required to take Blockchain technology and its possibilities to the next level working for a global leader within their field.  As a Senior Blockchain Engineer you will be working as part of a globally distributed team, based in London, you will be developing the Blockchain platform, developing the companys digital solutions.  You will be the Lead technologist for the companys suite of Native mobile apps being developed by an existing in house team. Skills Required: 5 years Software Development experience Java / javascript  Experience with Ethereum/ Smart Contracts using Solidity Ideally commercially however candidates with personal project experience will be considered  REST, RPC & Websockets  Go language experience Rewards: Above average compensation depending on experience  Fantastic working environment & every tool at your disposal  Benefits packages negotiable  You will be at the forefront of the Blockchain technology, working with a company who have the power and influence to disrupt the industry. This is a real opportunity for Engineers to elevate themselves and their careers.  To find out more about Computer Futures please visit ######.### Computer Futures, a trading division of SThree Partnership LLP is acting as an Employment Agency in relation to this vacancy Registered office 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom Partnership Number OC387148 England and Wales Advertised through Zoek c074777522c747d3919d860ce114ea693 Read moreSee All",Blockchain Engineer, 11 days ago
,"Brighton, England",969820,"[('Headquarters', 'Brighton, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '1999'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$5 to $10 million (USD) per year'), ('Competitors', 'Unknown')]",G2 Legal Limited,4.3,United Kingdom,Skillsearch is one of Brightons leading niche Recruitment Companies. We've recently seen more and more demand in the Blockchain arena and need more headcount to service that demand and to build out a global client base.  Although you needn't have experience in Recruitment you will need to have a desire to embed in the Blockchain/Cryptocurrency marketplace with a view to placing candidates anywhere in the world  You will have: A genuine interest in Blockchain and CryptocurrencyAn understanding that to work in Recruitment means being responsible for setting and achieving sales targetsExcellent spoken and written EnglishA background in engaging via Social Media - ideally with LinkedInA desire to become an expert RecruiterIdeally some Commercial sales experience but we will consider a Graduate. In return we will: Offer excellent training (we have our own internal Learning & Development Manager)A LinkedIn Recruiter licenseA brilliant Central Brighton location in a modern office in a classic buildingOpportunities to attend Blockchain eventsExcellent incentivesFree breakfastBrilliant support from the surrounding teamThe opportunity to earn commission from Day One This is an excellent opportunity to join what will be a fast expanding team in a really interesting market so please apply Read moreSee All,Blockchain Recruitment Consultant, 1 days ago
,"London, England",1013721,"[('Headquarters', 'London, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2011'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Coinbase, Circle')]",Blockchain,4.7,United Kingdom,"Blockchain is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time. We are looking for a Head of Engineering Excellence to provide and manage tools and best practices that drive engineering excellence within our fast growing Engineering organization. WHAT YOU WILL DO:This is a big job - you will be responsible for all aspects of the Blockchain development environment - tooling, automation, environments and dashboards - to support mobile, web and platform engineering. Your goal will be to drive continual, measurable increases in the velocity, quality and capabilities of the entire engineering team.You will work closely with other engineering and SRE leaders across multiple offices to drive innovation in software development, and help define the technical roadmap. You will evaluate, deploy and manage best-in-market development tools and environments, and create and maintain innovative engineering processes that drive a test-driven engineering cultureAs an engineering leader and manager at Blockchain you will be responsible for ensuring proper planning and delivery of complex projects, setting clear goals for your team, delivering timely feedback and rewards,, and helping recruit great engineers.Grow, manage, and lead a team focused on test automation frameworks, engineering tools, and dashboards. Make appropriate trade-offs to deliver velocity, quality, timely delivery and security at scale.Participate in technical discussions, help make technical decisions, and represent engineering to other disciplines within the company.Fintech and/or crypto experience preferred.WHAT YOU WILL NEED:The foremost quality for this position or any position at Blockchain is integrity.Experience with software development at scale, software development tools, test automation and modern software development practices..Knowledge of software testing process, methodology, and best practices in driving increased productivity within engineering organizations.Engineering management experience with a track record of building and leading productive, high functioning, distributed teams.Active participation in a teams career development, having managed engineers and managers performance with proper mentorship and coaching.The highest of standards regarding security practices and a desire to mentor your team on keeping our user base of 23M users safe.Desire to foster a hardworking, collaborative and creative team culture in one of the most challenging and dynamic industries in tech.Note: this is not a scrum master/agile coach job - this is an opportunity to build a world-class engineering infrastructure to support a world-class engineering organization.COMPENSATION & PERKS:Full-time salary based on experience and meaningful equity in an industry-leading company.The opportunity to be a key player and build your career at a rapidly expanding, global technology company in an exciting, emerging industry.Great office location in Shoreditch (London).Unlimited vacation policy; work hard and take time when you need it.Sharp, motivated co-workers in a fun office environment.Apple Equipment.APPLICATION:Favorite GIF.LinkedIn profile.Link to github, stackoverflow, personal website and/or blog (if applicable). Read moreSee All",Head of Engineering Excellence, 3 days ago
,"London, England",1013721,"[('Headquarters', 'London, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2011'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Coinbase, Circle')]",Blockchain,4.7,United Kingdom,"Blockchain is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time. We are looking for two Engineering Leads to drive the technological future of the worlds leading cryptocurrency product. WHAT YOU WILL DO:This is a big job at Blockchain. You will be responsible for leading and growing the engineering team that delivers the platform components that support our wallet, explorer and future products.You will work closely with other engineering and product leaders to define technical and product roadmaps and ensure timely delivery of high-quality, secure software. You will be responsible for driving technical innovation, processes and best practices required to deliver the platform at scale.You will be a hands on manager, responsible for inspiring, managing and growing a world class engineering team, building a culture of trust and collaboration between engineers and teams across multiple offices and time zones.As an engineering leader and manager at Blockchain you will be responsible for ensuring proper planning and delivery of complex projects, setting clear goals for your team, delivering timely feedback and rewards,, and helping recruit great engineers.Hands-on technical expertise.Fintech and/or crypto experience preferred.WHAT YOU WILL NEED:The foremost quality for this position or any position at Blockchain is integrity.Built, shipped, and scaled consumer facing, software products, and/or infrastructure to support consumer products at scale, with at least two successful product launches to speak of.Engineering management experience building and leading productive, high functioning, and distributed teams.Active participation in a teams career development, having managed engineers and managers performance with proper mentorship and coaching.The highest of standards regarding security practices and a desire to mentor your team on keeping our user base of 22M+ users safe.Desire to foster a hardworking, collaborative and creative team culture in one of the most challenging and dynamic industries in tech.COMPENSATION & PERKS:Full-time salary based on experience and meaningful equity in an industry-leading company.The opportunity to be a key player and build your career at a rapidly expanding, global technology company in an exciting, emerging industry.Great office location in Shoreditch (London).Unlimited vacation policy; work hard and take time when you need it.Sharp, motivated co-workers in a fun office environment.Apple Equipment.APPLICATION:Favorite GIF.LinkedIn profile.Link to github, stackoverflow, personal website and/or blog (if applicable). Read moreSee All",Engineering Lead, 3 days ago
,United Kingdom,1374054,"[('Headquarters', 'Knutsford, United Kingdom'), ('Size', '1 to 50 employees'), ('Founded', '2014'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",Zoek,4.1,United Kingdom,"Blockchain Engineer/ Blockchain Developer/ London/ USA offices  My client is a global internet finance company, built on blockchain technology, powered by crypto assets, and dedicated to helping people everywhere create and share value.  They've already made sending money around the world free and easy using blockchain technology with and are currently expanding their offerings with a cryptocurrency investment product, enabling anyone to buy and sell crypto assets.  What you'll work on Working with a team of expert developers to develop world-class crypto assets platformDesigning and implementing different blockchain technologies into their internal platformEstablishing and maintaining the environments in which blockchain solutions can be implemented, including development, testing, and production environmentsMaintain a continuous integration pipeline for the development and testing of applications What you'll bring Interest in blockchain development and crypto-currenciesInterest in impacting the way money moves between peopleExperienced in building large-scale, secured, distributed systems using C++ or Java or GoExperience with one or more of these languages (C++, Java, Scala, Go, Javascript, Solidity)Strong understanding of Blockchain concepts They are looking to pay from £40- £70K per annum depending on the level of experience and lining up interviews from Monday 14th May. If this sounds like a role that could be of interest to you, please send your most recent CV to #####@######.### .  More roles available in the USA paying up to £100K/$130K per annum, so if this one doesn't seem of interest but you are eligible to work in the USA without sponsorship please get in touch to hear more.  Advertised through Zoek 1c72b35ddb904dcdafc5d8ddd12e99a60 Read moreSee All",Blockchain Developer - London and International Offices, Today
