average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,Asnières-sur-Seine,453656,"[('Headquarters', 'Meudon, France'), ('Size', '5001 to 10000 employees'), ('Part of ', ''), ('Founded', ''), ('Type', '1994'), ('Industry', 'Company - Private'), ('Revenue', 'Telecommunications'), ('Competitors', '$2 to $5 billion (USD) per year')]",Bouygues Telecom,3.8,France,"Informations générales Entité de rattachement  Choisir Bouygues Telecom, c’est choisir de vivre une expérience professionnelle unique pour gagner en compétences aux côtés d’experts reconnus. Venez développer vos talents et découvrir de nouveaux horizons numériques dans un groupe qui met le meilleur de la technologie au service de l'expérience client. Référence  IF18/588Description du poste  Famille MétierInformatique - DéveloppementIntitulé du posteStage Etudes & Développement BlockchainDescription de la missionAu sein de la Direction des Systèmes d'Information, vous rejoindrez la direction front office & digital qui a pour mission de fournir à Bouygues Telecom les applications du Front office grand public nécessaire pour implémenter la stratégie de l'Entreprise. La direction a en charge le développement et le test des applications, en profitant des nouvelles opportunités technologiques pour préparer l'avenir (accélérateur de business, réduction de coûts, simplicité de fonctionnement).  En rejoignant nos équipes, vous aurez l'opportunité d'explorer un sujet innovant : l'utilisation de la blockchain dans le domaine de la gestion des authentifications, identification et droits d'accès des utilisateurs.  De par leur architecture distribuée, les blockchains permettent d'assurer l'intégrité des données, ce qui est un des points les plus important lorsqu'on traite de problématiques liés à l'authentification et la gestion des droits d'accès.  Dans le cadre de ce stage, vous serez amené(e) à développer une implémentation-pilote ( Proof of Concept) et à faire interagir avec les systèmes existant, qui démontre la prise en main de la technologie et son utilité dans les domaines cités. Vous serez en charge de :Faire un état des lieux des applications possibles de la technologie blockchain pour les problématiques de SSO (Single Sign On)Réaliser une analyse fonctionnelle et technique des principales technologies avec une documentation associéeChoisir une solution et argumenter ce choixRédiger spécification fonctionnelle et technique du Proof of ConceptConcevoir les architectures logicielles et technique du PoCRéaliser l'implémentation logicielle du POCFaire une rétrospective et fournir une analyse critique et argumentée sur les avantages et les inconvénients de l'utilisation d'un système à base de blockchain pour les problématiques de SSOEtendre cette étude aux problématiques d'identification et de délégation d'autorisation (OAUTH)Détail du profilVous êtes étudiant en école d'ingénieurs ou similaire, vous êtes autonome, curieux, dynamique, vous savez être force de proposition et vous êtes motivé(e) par le développement, et les nouvelles technologies.Vous possédez les compétences techniques suivantes: programmation orientée objet, Java, API REST, NOSQL.  Un projet apportant des solutions grâce à la technologie de la blockchain serait un plus.  Vous êtes intéressé par les problématiques de sécurité sur les systèmes d'authentification.Durée du contrat4 à 6 moisContratStageTemps de travailTemps completLocalisation du poste  Localisation du posteFrance, Ile-de-France, Hauts-de-Seine (92)Code postal92360Ville  13 AVENUE DU MARECHAL JUIN 92360 MEUDON Critères candidat  Niveau d'études min. requisBac+3FormationIngénieur ou équivalentNiveau d'expérience min. requisDébutant Read moreSee All",Stage Etudes & Développement Blockchain, 26 days ago
,Meudon,7268,"[('Headquarters', 'Paris, France'), ('Size', '10000+ employees'), ('Founded', '1952'), ('Type', 'Company - Public\r\n                                    (EN)'), ('Industry', 'Construction, Repair & Maintenance'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Eiffage, Vinci, Dragados')]",Groupe Bouygues,3.8,France,"Filière MétierINFORMATIQUE Intitulé du posteStage Etudes & Développement Blockchain ContratStage StatutStagiaire Temps de travailTemps complet Durée du contrat4 6 mois Description de la missionAu sein de la Direction des Systèmes d'Information, vous rejoindrez la direction front office & digital qui a pour mission de fournir Bouygues Telecom les applications du Front office grand public nécessaire pour implémenter la stratégie de l'Entreprise. La direction a en charge le développement et le test des applications, en profitant des nouvelles opportunités technologiques pour préparer l'avenir (accélérateur de business, réduction de coûts, simplicité de fonctionnement).  En rejoignant nos équipes, vous aurez l'opportunité d'explorer un sujet innovant : l'utilisation de la blockchain dans le domaine de la gestion des authentifications, identification et droits d'accès des utilisateurs.  De par leur architecture distribuée, les blockchains permettent d'assurer l'intégrité des données, ce qui est un des points les plus important lorsqu'on traite de problématiques liés l'authentification et la gestion des droits d'accès.  Dans le cadre de ce stage, vous serez amené(e) développer une implémentation-pilote ( Proof of Concept) et faire interagir avec les systèmes existant, qui démontre la prise en main de la technologie et son utilité dans les domaines cités. Vous serez en charge de :Faire un état des lieux des applications possibles de la technologie blockchain pour les problématiques de SSO (Single Sign On)Réaliser une analyse fonctionnelle et technique des principales technologies avec une documentation associéeChoisir une solution et argumenter ce choixRédiger spécification fonctionnelle et technique du Proof of ConceptConcevoir les architectures logicielles et technique du PoCRéaliser l'implémentation logicielle du POCFaire une rétrospective et fournir une analyse critique et argumentée sur les avantages et les inconvénients de l'utilisation d'un système base de blockchain pour les problématiques de SSOEtendre cette étude aux problématiques d'identification et de délégation d'autorisation (OAUTH) ProfilVous êtes étudiant en école d'ingénieurs ou similaire, vous êtes autonome, curieux, dynamique, vous savez être force de proposition et vous êtes motivé(e) par le développement, et les nouvelles technologies.Vous possédez les compétences techniques suivantes: programmation orientée objet, Java, API REST, NOSQL.  Un projet apportant des solutions grâce la technologie de la blockchain serait un plus.  Vous êtes intéressé par les problématiques de sécurité sur les systèmes d'authentification. Read moreSee All",Stage Etudes & Développement Blockchain, 20 days ago
,Paris,1037728,"[('Headquarters', 'Nanterre, France'), ('Size', '201 to 500 employees'), ('Founded', '2001'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$25 to $50 million (USD) per year'), ('Competitors', 'Unknown')]",BK Consulting,3.6,France,"Détail de l'annonce BK//15072  Retour à la listeH/F MOA Titres / Blockchain Référence : BK//15072Date d'émission : 29/01/2018Nombre de poste(s) : 1Lieu de travail : PARIS intramurosFormation recherchée : BAC + 4, BAC + 5 - GROUPE 1 -, > BAC + 5Rémunération : Contexte :  BK CONSULTING continue son développement dans les métiers de la finance, de la banque et de l’assurance. Aujourd’hui BK Consulting est sollicité sur des projets métiers ou sur des programmes de transformation digitale des systèmes d’informations de ses clients.  Fort de plus de 500 consultants spécialisés sur les métiers de nos clients, et maitrisant les environnements techniques et technologiques de la révolution digitale, BK CONSULTING intervient sur des projets, nécessitant une qualité de réponse, et une capacité d’engagement, notamment dans le cadre de centres de services, de TMA, ou de contrats forfaitisés. Poste :  Au sein du département CCS (Clearing and Custody Services).  Le projet Corporate Event Connect a trois objectifs :  > Rationalisation de l'architecture technique de nos systèmes local et global custody,  > Améliorer l'efficacité opérationnelle de nos équipes custody dans toutes nos locations,  > Améliorer l'offre client en matière d'annonce d'OST.  Le projet implique de nombreux changements organisationnels du modèle opérationnel et des évolutions systèmes conséquentes notamment la création d’un Single Aquisition Layer qui utilise la nouvelle technologie Blockchain.  Vous travaillerez en coordination avec le chef de projet pour :  1) Participer activement à la définition du modèle opérationnel cible organisationnel ; Participer à la conduite du changement auprès des équipes opérationnelles. 2) Participer activement à la définition du modèle architectural cible : Définir l’infrastructure cibleContribuer au développement d’un écosystème custody qui utilise la technologie Hyperledger Fabric. 3 ) Définir et assurer l’implémentation des besoins d’évolution des systèmes opérationnels pour répondre aux objectifs du projet et à l’évolution du modèle opérationnel : Définir les besoins d’évolution des systèmes opérationnels;Préparer les « business requirements » à destination des équipes maîtrise d’ouvrage;Travailler en lien avec les équipes maîtrise d’ouvrage lors de la préparation des spécifications fonctionnelles à fournir aux équipes de développement;Contribuer à la préparation et au pilotage des phases de tests en lien avec les équipes maîtrise d’ouvrage et les équipes opérationnelles;Participer au support post-livraison des évolutions systèmes auprès des équipes opérationnelles. 4) Assurer le suivi de l’activité, des plannings et des livrables du projet : Suivre l’avancement des sujets et des jalons;Organiser/Animer des réunions de suivi avec les équipes opérationnelles (préparation et suivi de plans d’actions…). 5) Participer activement à la gouvernance projet : Animer les comités projets (PCC, comités de pilotage 6) Participer activement à la gouvernance projet : Animer les comités projets (PCC, comités de pilotage...);Préparer les supports/comptes-rendus. 7) Participer au suivi du budget du projet (suivi du consommé, préparation du prévisionnel, reportings mensuels…).Vos compétences :Compétences demandées : Capacité d’initiative  Capacité à analyser, synthétiser,modéliser, aisance rédactionnelle  Anglais - pratique quotidienne (écrit, oral)  Rédaction de spécification détaillées  Connaissance de l’activité du Métier Titres  Capacité à travailler dans un environnement internationalContact: Merci d'adresser votre candidature à Nicolas GOUILLART - Courriel : ngouillart@bk-consulting.com - BK Consulting France, 6 Boulevard de Pesaro, 92000 NANTERRE Read moreSee All",H/F MOA Titres / Blockchain, 20 days ago
,Paris,1190499,"[('Headquarters', 'Paris, France'), ('Size', '1 to 50 employees'), ('Founded', '2009'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', 'Unknown / Non-Applicable per year'), ('Competitors', 'Unknown')]",Inteam,None,France,"Contrat durée indéterminée - Inteam  Le poste  Dans un environnement lesprit start-up vous participez pleinement au projet de modernisation de linfrastructure en synergie avec une équipe internationale.  Vous implémentez des outils de configuration et dautomatisation pour simplifier les process de déploiement et de mise jour sur lintégralité de la plateforme. Egalement, vous travaillez de façon proactive sur certaines problématiques de code et sur la scalabilité de la plateforme.  Vous utilisez des outils type Puppet, Chef, Ansible, et vous travaillez dans un environnement cloud sur AWS.  Les responsabilités  Travailler sur lautomatisation  Travailler sur les problématiques de code (Javascript)  Gestion de la partie cloud sur AWS  Gérer la dockerisation  Faire évoluer positivement linfrastructure  Pourquoi venir travailler pour ce client ?  Parce que vous souhaitez un poste qui sort de lordinaire avec un fondateur connu et reconnu de tous sur un projet déj rentable.  Parce que vous recherchez un poste qui propose du télétravail partiel mais aussi des stock-options.  Parce que vous souhaitez être écouté pour vos idées afin de faire évoluer positivement linfrastructure.  Aussi, vous voulez travailler dans un domaine davenir dans les crypto monnaies et le block Chain.  Postuler cette offre  Tentez de gagner 500  Mettez nous en relation avec votre réseau !  Grâce notre programme de cooptation, vous bénéficiez de 500 par candidat recruté.  Je coopte  Read moreSee All",Jeune diplômé : RARE Architecte Devops Cyrpto monnaies et Blockchain Télétravail partiel possible, 24 days ago
,Vélizy-Villacoublay,1129793,"[('Headquarters', 'Vélizy-Villacoublay, France'), ('Size', '51 to 200 employees'), ('Founded', '1986'), ('Type', 'Unknown'), ('Industry', 'Unknown'), ('Revenue', 'Less than $1 million (USD) per year'), ('Competitors', 'Unknown')]",Ercom,3.7,France,"Stage - Ercom  Sujet du stage : Étude de lutilisation de « smart contracts » dans une blockchain publique pour le séquestre et lautorisation daccès des documents  Ercom a déj exploité la technologie Blockchain pour notariser des données chiffrées. Lidée de ce stage est détudier lusage de « smart contracts » (Ethereum, Tezos) pour gérer les modalités de consultation et de partage de documents et données sensibles. Il sera notamment intéressant détudier la capacité apporter des preuves formelles sur les contrats. Missions :Étude des blockchains avec smart contract et choix dune technologie dexpérimentation.Réalisation dun démonstrateur.Test de la solution et test des outils de preuve formelle. Mots clés : Blockchain, Tezos, Ethereum, Smart contract et Preuves Formelles (COQ, OCAML).  Formation souhaitée : Bac +5 École dingénieurs ou parcours universitaire Compétences requises :Stage de fin de cursus ingénieur ou MasterCryptographie, preuves formellesProgrammation dans divers langages (C/C++, Go, Solidity, OCaml, )Connaissance des technologies BlockchainAnglais lu, parlé et écrit Read moreSee All",Stage : STAGE - Cyber sécurité et étude des Blockchains, 30+ days ago
,Paris,38430,"[('Headquarters', 'Paris, France'), ('Size', '1001 to 5000 employees'), ('Founded', '1900'), ('Type', 'Company - Private'), ('Industry', 'Insurance'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Unknown')]",Groupama,3.6,France,"Entité de rattachement : Etre ancré dans la réalité de nos clients et engagé auprès d'eux, quel que soit son métier, c'est ça être un vrai collaborateur Groupama SA. Pour répondre à leurs attentes, postulez en nous indiquant ce qui fera de vous un vrai collaborateur Groupama. Pour en savoir plus sur Groupama SA Profil principal : Systèmes d'information/Gestion de projet Type de contrat : Stage Description du poste : Au sein de la Direction de la Transformation Digitale de Groupama SA, dans une équipe jeune et dynamique et possédant l'esprit start-up, vous aurez pour mission de piloter des projets dans le domaine de la data science et/ou de la blockchain dans le but d'expérimenter rapidement des solutions technologiques et d'étudier la faisabilité de nouveaux concepts. En fonction de la roadmap, vos missions seront les suivantes : • Piloter et accompagner des expérimentations autour du big data et de la data science L'arrivée du big data a révolutionné la manière dont les entreprises doivent gérer et exploiter leurs données. Vous serez donc amenés à : - Contribuer à la réalisation de PoC permettant de répondre à des cas d'usage métiers (marketing, tarification, sinistres…) ; - Concevoir et réaliser la modélisation statistique pour répondre à une problématique (construction d'algorithmes, corrélations, analyses prédictives - Machine Learning…) ; - Analyser les données et restituer les résultats (développer des métriques pertinentes d'aide à la décision, dataviz …) ; - Proposer des tableaux de bord de suivi et assurer la conduite du changement auprès des clients internes du groupe. • Piloter des expérimentations Blockchain Votre rôle sera de piloter une expérimentation Blockchain en coordination avec notre IT interne et pour cela nous vous demanderons : - D'étudier les différentes technologies Blockchain existantes (Bitcoin, Ethereum…) et sélectionner celles à tester ; - D'organiser des sessions de partage de connaissances en interne afin de renforcer les compétences sur le sujet ; - De participer aux initiatives du groupe sur la Blockchain avec des acteurs tiers (FFA, LabChain …) Avant tout de la curiosité, de la motivation et une forte appétence pour les nouvelles technologies, et aussi : - Être en cours d'obtention d'un diplôme d'une grande école d'ingénieur, d'informatique ou Master en lien avec la Data Science ou la Blockchain - Avoir effectué un premier stage idéalement dans le big data/data science ou blockchain - Savoir gérer des projets et être orienté objectifs, délais et résultats - Être capable de travailler en transverse avec ténacité et rigueur - Savoir chercher les informations et se former en autonomie - Maîtriser l'anglais écrit, l'anglais oral est un plus - Des compétences en informatique et en code (html5, java, python, javascript, nodeJS, Solidity, suite elastic search, logstash, kibana…) ainsi qu'en cryptographie - Une première expérience sur les environnements cloud AWS ou Azure est un plus Niveau d'études min. requis : Bac+3 Read moreSee All",Stage chef de projet digital Data Science et Blockchain H/F, 22 days ago
,Paris,1037728,"[('Headquarters', 'Nanterre, France'), ('Size', '201 to 500 employees'), ('Founded', '2001'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$25 to $50 million (USD) per year'), ('Competitors', 'Unknown')]",bk consulting,3.6,France,"MOA Titres / Blockchain (H/F)  Référence : BK//15072  Date d'émission : 29/01/2018  Nombre de poste(s) : 1  Lieu de travail : PARIS intramuros  Formation recherchée : BAC + 4, BAC + 5 - GROUPE 1 -, > BAC + 5 Rémunération : Contexte : BK CONSULTING continue son développement dans les métiers de la finance, de la banque et de lassurance. Aujourdhui BK Consulting est sollicité sur des projets métiers ou sur des programmes de transformation digitale des systèmes dinformations de ses clients. Fort de plus de 500 consultants spécialisés sur les métiers de nos clients, et maitrisant les environnements techniques et technologiques de la révolution digitale, BK CONSULTIN ... Read moreSee All",MOA Titres / Blockchain (H/F), 22 days ago
,Villeneuve-d'Ascq,130664,"[('Headquarters', 'ROCQUENCOURT, France'), ('Size', '1001 to 5000 employees'), ('Founded', '1967'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",Inria,4.1,France,"2018-00496 - Optimization of the mining of transactions within the Ethereum blockchain. M/FLe descriptif de l’offre ci-dessous est en AnglaisType de contrat : CDD de la fonction publiqueNiveau de diplôme exigé : Thèse ou équivalentFonction : Post-Doctorant Contexte et atouts du poste Scientific environment The postdoctoral research will be carried out within the partnership of the INOCS team and the start-up company Utocat.  The researcher will be supervised by Luce Brotcorne (INOCS) and Bernard Fortz (INOCS).  Frequent meetings will be organized with Utocat.  INOCS :  The primal goal of INOCS is the study (modeling and methodological concerns) of optimization problems involving complex structures (CS). The INOCS team focuses on integrated models for problems with (CS) taking into account the whole structure of the problem and the development of solution methods taking explicitly into account the nature and the structure of the decisions as well as the properties of the problem. More information at https://team.inria.fr/inocs/  Utocat:  Utocat was created in October 2014 by Clément Francomme to help merchants accepting bitcoin payments and converting it directly in euros. In 2015, Utocat joined the EuraTechnologies acceleration program and pivoted to propose Blockchainiz : the dedicated access platform for Banks and Insurance companies..  As a Platform As A Service (PAAS), Blockchainiz is a blockchain solution for financial services that accompanies projects up to the production stage. Blockchainiz connects the functional processes to the blockchain. Data is not replicated on different IT systems anymore. Blockchain is used as a common repository for every part of the process. Hence, it enables to limit the typing errors, to optimize the costs and delays while the customer experience is improved. More information at: https://www.blockchainiz.io  Now, they develop a new product : Catalizr, a connector between bank, investor and company that enables the automation of the management of unlisted securities between these three actors and facilitates investment in very small businesses (TPEs) and SMEs via a completely digital and secure process in the blockchain.  More information at : https://www.utocat.com/fr Mission confiée The objective of this project is to optimize the mining of transactions within the Ethereum blockchain, both in terms of processing time and costs.  Based on historical data extracted from the blockchain, the research aims at answering the two following questions:  For a fixed fee, what is the maximum time limit for a transaction to be undermined?  For a fixed maximum time limit, what is the amount of costs to be allocated (gasPrice)?  The researcher will combine machine learning techniques and robust and two-level optimization techniques to model the problem and develop efficient algorithms to solve it. Principales activités ... Compétences Skills Candidates should hold a PhD degree in Operations research, mathematics, computer science, or similar fields and should ideally have a solid background in discrete optimization, integer programming, decomposition techniques. Computer science skills in algorithmic and C/C++ development as well as basic knowledge of machine learning techniques and blockchain technology are also welcome.  Knowledge of French is not required, but good communication skills and a solid knowledge of English are essential. Avantages sociaux Subsidised catering servicePartially-reimbursed public transportSocial securityPaid leaveFlexible working hoursSports facilities Read moreSee All",Optimization of the mining of transactions within the Ethereum blockchain. M/F, 25 days ago
,Toulouse,3059,"[('Headquarters', 'Leiden, Netherlands'), ('Size', '10000+ employees'), ('Founded', '2000'), ('Type', 'Company - Public\r\n                                    (AIR)'), ('Industry', 'Aerospace & Defense'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Boeing, Bombardier, Embraer')]",AIRBUS,3.6,France,"Architecte Solutions Blockchain (h/f) Airbus Blagnac  Airbus Filton  Airbus Hamburg  Airbus BroughtonAirbus est un leader mondial de laéronautique, de lespace, de la défense et des services associés. En 2017, lentreprise a dégagé un chiffre daffaires de 67,0 milliards deuros avec un effectif denviron 130 000 personnes. Airbus propose la gamme davions de transport de passagers la plus complète, de 100 plus de 600 sièges. Airbus est également le fournisseur davion de ravitaillement, de combat, de transport et de mission leader en Europe, ainsi que le numéro un européen et le numéro deux mondial de lindustrie spatiale. Sur le marché des hélicoptères, Airbus fournit les voilures tournantes civiles et militaires les plus performantes au monde.  Nos équipes travaillent avec passion et détermination pour faire du monde un endroit plus connecté, plus sûr et plus intelligent. Fiers de notre travail, nous nous appuyons sur lexpertise et lexpérience de chacun pour atteindre lexcellence. Notre diversité et culture du travail en équipe nous poussent accomplir lextraordinaire - sur terre, dans le ciel et dans lespace.Description du poste / stageUn poste d'Architecte Solutions Blockchain (h/f) vient de s'ouvrir au sein d'Airbus Commercial Aircraft Toulouse/Blagnac, Filton, Hambourg ou Broughton.  Vous rejoindrez la Blockchain Product Team au sein d'IM (Information and Management) pour la livraison de solutions Blockchain au sein de toutes les divisions d'Airbus.  Blockchain est une nouvelle technologie disruptive qui pourrait radicalement changer le réseau digital actuel et les processus fonctionnels travers l'industrie Airbus. Vous participerez au façonnage de la future industrie aéronautique avec vos décisions techniques qui s'attaquent aux enjeux actuels de Blockchain. Pour ce faire, vous travaillerez au côté de collaborateurs issus de tout autres éléments requis afin de définir un empilage standard de Blockchain conforme aux réglementations actuelles et bien intégré au paysage global IS/IT d'Airbus.Tâches et missions principales, responsabilitésVous serez responsable des principales activités et missions suivantes : Façonner l'empilage Blockchain d'Airbus qui s'intègre aux applications actuellesDéfinir les standards de contrats intelligents AirbusAider amener Blockchain au niveau de la production au sein d'AirbusIntégrer l'équipe d'architectes d'AirbusGérer l'intégration de l'empilage Blockchain avec le paysage IS/IT actuel d'AirbusTravailler avec les collaborateurs internes sur les cas d'utilisation BlockchainSurveiller les intégrateurs externes développant des applications BlockchainÉvaluer les efforts, les délais et les coûts des cas d'utilisation Blockchain pour parvenir une définition de la valeur commercialePoursuivre une recherche active pour de nouvelles plateformes et solutions Blockchain Des déplacements professionnels fréquents en Europe sont prévoir, et de ce fait, vous devrez vous rendre disponible en conséquence.Compétences requisesNous recherchons des candidat(e)s ayant les compétences et expériences suivantes : Titulaire d'un diplôme Bac +5 (ou équivalent) en informatique ou une discipline apparentéeConnaissance approfondie de la technologie, de l'architecture système et de la cryptographie BlockchainExpérience avec au moins une technologie Blockchain telle que Hyperledger, Ethereum, Corda, etc.Expérience de livraison de prototypes en exploitation et de préférence de mises en œuvre de la technologie Blockchain en situation réelleBonne connaissance d'au moins l'un des domaines IS/IT en termes d'architecture de solution et d'entrepriseBonnes aptitudes en communication et gestion des intervenantsCompétences pratiques dans le développement et la programmation techniques en n'importe quel langage ou en plusieurs langages, tels que C++, Java, JavaScript, GO, PythonCapacité collaborer avec les intervenants dans différents domainesCapacité travailler selon des délais serrés et travailler avec des équipes sur différents fuseaux horairesUne expérience dans l'industrie automobile, les produits de consommation, l'aéronautique et la défense ou l'énergie serait un atoutUne expérience avec les systèmes ERP ou PLM serait également un atoutUn niveau de négociation en anglais est obligatoire Read moreSee All",Architecte Solutions Blockchain (h/f), 19 days ago
,Nanterre,324360,"[('Headquarters', 'Paris, France'), ('Size', '10000+ employees'), ('Founded', '1946'), ('Type', 'Company - Public\r\n                                    (EDF)'), ('Industry', 'Oil, Gas, Energy & Utilities'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Unknown')]",EDF,3.8,France,"Description: EDF, électricien performant et responsable, champion de la croissance bas carbone recrute dans ses nombreux métiers. Rejoignez nos équipes et relevez de nouveaux défis au service de 38.5 millions de clients.  La Direction des Services Informatique et Télécommunications (DS IT) développe les nouvelles technologies essentielles la performance du groupe EDF.  L'entité DMA (Développement et Maintenance des Applications) a lancé un vaste programme de transformation afin de devenir une unité agile et être un acteur majeur de la transformation numérique du groupe EDF. Elle impulse un "" travailler autrement "" avec des méthodes innovantes et flexibles, basées sur la confiance, la collaboration, la transversalité et l'autonomie, où les salariés sont co-acteurs des transformations.  Notre quotidien : travailler autrement avec des méthodes innovantes et flexibles comme la Fabrik et son Fab Lab, la collaboration avec des starts ups, les pizzas team, le design thinking, le management visuel 2.0, sans oublier le télétravail. La mobilité et l'internet des objets est au coeur de nos enjeux. Nous évoluons dans un milieu innovant et moderne.  Au sein de cette entité, le département IT de Solutions Lab est en charge du développement et de la maintenance des applications du domaine de la finance, gestion et logistique.  Dans le cadre de son développement, la DSIT recrute un-e :  Développeur Solutions Blockchain H/FPoste basé Nanterre (92)  Vous serez intégré la cellule d'expertise Web qui assure entre autres la production et le support de solutions logicielles référencées, l'expertise et l'appui technique des différentes technologies, la veille des nouvelles solutions émergentes (notamment Blockchain), les activités de conseil aux projets sur les architectures de services et le développement de projets en méthodes agiles (Scrum).  Dans le cadre de votre mission, vous : Analysez et implémentez des spécificités techniques.Développez des "" Proof of concept "", des plateformes de tests, des environnements de démonstration.Implémentez des chaînes de type Smart Contract.Avez des connaissances sur les technologies suivantes : Angular JS, REST, Jira et Confluence.Vous intéressez au monde de la Blockchain et de son actualité : innovation, ICO, crypto monnaies, etc.Profil: Diplômé-e d'une école d'ingénieur ou universitaire Bac +5) en informatique, vous disposez d'un stage ou d'une première expérience technique dans le domaine du développement de solutions Blockchain. Des connaissances sur la méthode agile sont un plus.  Vous maîtrisez et respectez l'architecture et les protocoles Blockchains (Ethereum, NXT, Hyperledger, etc.), ainsi que les langages de développement : C, C++, GO, Java, Python, Solidity, Node.JS.  Vous développerez vos qualités professionnelles et personnelles tout en évoluant dans un environnement dynamique et convivial avec des projets variés et passionnants.  Vous serez formé-e au contexte de nos clients, nos processus métier, aux nouvelles technologies et aurez l'opportunité d'accroître vos connaissances.  Sens de l'organisation, esprit d'analyse et de synthèse, vous avez la capacité piloter et coordonner des activités sous contrainte de qualité, de délais et de budget.  Votre goût du travail en équipe, votre passion pour les nouvelles technologies, votre curiosité technique, vos qualités rédactionnelles et relationnelles, vous permettent d'animer des échanges avec des experts et des développeurs.  Volonté d'innover, capacité connaitre et comprendre le besoin des métiers et votre capacité de persuasion sont des qualités requises la réussite de ce poste.  Conformément aux engagements pris par EDF SA en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert toutes et tous sous réserve de l'accord de la médecine du travail. Read moreSee All",Développeur Solutions Blockchain H/F, 12 days ago
