average_salary,city_state,company_id,company_info,company_name,company_rating,country_name,job_desc,job_title,post_date
,Cologne,354,"[('Headquarters', 'Armonk, NY'), ('Size', '10000+ employees'), ('Founded', '1911'), ('Type', 'Company - Public\r\n                                    (IBM)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Amazon, Accenture, Microsoft')]",IBM,3.6,Germany,"Job Description Master@IBM 2018 - Blockchain Architekt  Willkommen in der digitalen Ära. Die Geschäftswelt befindet sich sich im Wandel und bietet neue und außergewöhnlicher Möglichkeiten. Durch intelligente und innovative Nutzung von Daten und Technologien verändern sich Industrien, Gesellschaft und Arbeitsbereiche. Themen wie Blockchain, Kognitive Systeme, Analytics, SCloud und Mobile Computing ergeben immer neue Tätigkeitsfelder. Sammeln Sie Erfahrungen in diesem spannenden Umfeld und starten Sie Ihren Berufsweg bei IBM.  Mit unserem Master@IBM Programm kombinieren Sie ein berufsbegleitendes Master-Studium mit den Karrieremöglichkeiten eines weltweiten Technologie-Unternehmens.  Programminhalte  Sie studieren an einer Hochschule, die ein akkreditiertes berufsbegleitendes Master-Studium anbietet. Die Studiendauer richtet sich nach der jeweiligen Hochschule und beträgt zwischen zwei und drei Jahren. Parallel arbeiten Sie in einer Fachabteilung bei IBM, in der Sie Ihr theoretisches Wissen direkt in die Praxis umsetzen können. Neben verantwortungsvollen Aufgaben mit fester Vergütung bieten wir Ihnen die komplette Übernahme Ihrer Studiengebühren sowie der Reisekosten zur Hochschule, ein IBM internes Schulungsangebot, Möglichkeiten zur Zertifizierung in unterschiedlichen Fachgebieten und Unterstützung bei Ihrer weiteren Karriereplanung.  Aufgaben  Sie werden als Berater/-in bzw. Blockchain Architekt im Bereich Global Business Services der IBM Blockchain Practice DACH eingesetzt.  Der Bereich Blockchain Practice DACH bündelt die IBM Blockchain-Kompetenz für die Region Deutschland, Österreich und Schweiz und bietet Beratungs- und Dienstleistungen für die partnerschaftliche Erarbeitung von Lösungen in den komplexesten Vorhaben und Systemlandschaften unserer Kunden. Ziel ist die Erabeitung von Konzepten für den Einsatz von Blockchain, das Zusammenführen von Netzwerken bzw. Eco-Systemen, die Implementierung der Blockchain-Lösungen und die Verantwortung des Betriebs. Es erwarten Sie folgende Aufgaben:Wertschätzende Zusammenarbeit in Beraterteams in unseren KundenprojektenUnterstützung erfahrener Kollegen in alle Aufgabenbereichen der Analyse, Konzeption, Architekturentwurf und ImplementierungAnalyse von Anwendungsfällen und ProzessenKonzeption von Lösungsansätzen im Umfeld Blockchain-TechnologieArchitekturentwurf für komplexe Blockchain NetzwerkeImplementierung der Lösung, insbesondere auf Basis von Blockchain-Technologie Der Aufgabenumfang ermöglicht es Ihnen, sich ausreichend Ihrem Master-Studium zu widmen. Ihre Master-Thesis schreiben Sie in Zusammenarbeit mit Ihrem Bereich.  Ihr Studium werden Sie vorzugsweise an der Dualen Hochschule Baden-Württemberg Center for Advanced Studies bzw. Wilhelm-Büchner-Hochschule oder TH Köln im Studiengang Informatik bzw. Wirtschaftinformatik absolvieren. Einstellorte: Vorzugsweise München, Ehningen (bei Stuttgart) oder auch Frankfurt Wir erwarten:einen guten Bachelor- oder Diplom-Abschluss (Notendurchschnitt 2,5 oder besser) mit Schwerpunkt auf IT, der i.d.R. nicht länger als 24 Monate zurückliegtanalystisches Denken und Lösungsorientierungsicheres Auftreten und gute Kommunikationsfähigkeiteigenverantwortliches Arbeiten, hohe Leistungsbereitschaft, Teamfähigkeit und Flexibilitätsehr gute Deutschkenntnissesehr gute bzw. gute EnglischkenntnisseWir bieten:eine feste Vergütung während der Vertragslaufzeit:im 1. Jahr: 1.588 brutto/Monatab dem 2. Jahr: 2.076 brutto/Monatdie Übernahme der Studiengebühren sowie der Reisekosten zur Hochschule gemäß unseren Richtlinien30 Tage Urlaub im Jahr38h-Vertrag mit einer auf das jeweilige Studienmodell abgestimmten Arbeitszeitgestaltung mit einer Freistellung für durchschnittlich zehn Stunden pro Woche für StudienzweckeIBM interne Schulungsangebotedie Möglichkeit einer Zertifizierung parallel zum Studium (bspw. Projektmanagement, ITIL, Scrum)Persönliche Betreuung durch die Fachabteilung und IBM StudienreferentenUnterstützung bei der weiteren KarriereplanungHinweise zur Bewerbung: Beachten Sie, dass wir ein Studium an den Hochschulen Aalen, DHBW CAS, ESB Reutlingen, KIT Hector School, HdM Stuttgart, HHL, HHZ, HTW Berlin, Nordakademie, HS Pforzheim sowie UdK nur Studierenden ermöglichen, die einen Bachelor-Abschluss mit 210 ECTS vorweisen können. Ist dies nicht der Fall, finden wir in Abstimmung mit Ihnen eine alternative Hochschule aus unserem Portfolio.  Bewerbungen auf mehrere Master@IBM Stellen sind möglich. Beschränken Sie sich dann bitte auf max. 3 Positionen. Bitte geben Sie Ihre Priorisierung unter Angaben der Stellennummern (Requisition Numbers) in Ihren Unterlagen an. Wir werden Ihre Bewerbungen sequentiell nach Vergabe Ihrer Prioritäten bearbeiten.  Bitte bewerben Sie sich auf Deutsch und reichen Sie folgende Dokumente bei der Online-Bewerbung (wenn möglich bitte zusammengefasst in einem PDF Dokument) ein: Anschreiben, das Ihre Motivation für IBM und ein berufsbegleitendes Masterstudium sowie Ihre Qualifikation in der IBM Fachabteilung deutlich macht.Aussagekräftiger LebenslaufBachelor- oder Diplom-Zeugnis und ggf. Arbeits- und Praktikumszeugnisse. Sollte Ihnen noch kein Zeugnis zum Studien-Abschluss vorliegen, bitten wir um Zusendung des aktuellen Notenspiegels. Wir setzen einen Notendurchschnitt von 2,5 oder besser voraus. Von Bewerbern mit einem Abschluss einer ausländischen Hochschule wird eine individuelle Zeugnisbewertung der Zentralstelle für ausländisches Bildungswesen (ZAB) benötigt. Bewerber/-innen aus Nicht-EU-Staaten müssen eine gültige Arbeitserlaubnis und Aufenthaltsgenehmigung vorweisen.  Für Fragen, die darüber hinaus gehen, schauen Sie in unsere FAQ oder kontaktieren Sie uns über ibm.masterprogramme@de.ibm.com.  Wir freuen uns auf Ihre Bewerbung!  #MasterAtIBM #DoYourBestWorkEver  Required Technical and Professional Expertise Informatik Bachelor2 Jahre Erfahrung in Java-Programmierung, Datenbanktechnologie und Web-TechnologieFundierte Grundlagen in Softwareengineering und Software-Architekturen Preferred Tech and Prof Experience 2 Jahre Programmiererfahrung in weiteren Internet-ProgrammiersprachenPraktische Erfahrung in der Programmierung unter LinuxTheoretische Grundkenntnisse in Blockchain Technologie Read moreSee All",Master@IBM - Blockchain Architect, 5 days ago
,Cologne,354,"[('Headquarters', 'Armonk, NY'), ('Size', '10000+ employees'), ('Founded', '1911'), ('Type', 'Company - Public\r\n                                    (IBM)'), ('Revenue', '$10+ billion (USD) per year'), ('Competitors', 'Amazon, Accenture, Microsoft')]",IBM,3.6,Germany,"Job Description Master@IBM 2018 - Blockchain Consultant  Willkommen in der digitalen Ära. Die Geschäftswelt befindet sich sich im Wandel und bietet neue und außergewöhnlicher Möglichkeiten. Durch intelligente und innovative Nutzung von Daten und Technologien verändern sich Industrien, Gesellschaft und Arbeitsbereiche. Themen wie Blockchain, Kognitive Systeme, Analytics, Cloud und Mobile Computing ergeben immer neue Tätigkeitsfelder. Sammeln Sie Erfahrungen in diesem spannenden Umfeld und starten Sie Ihren Berufsweg bei IBM.  Mit unserem Master@IBM Programm kombinieren Sie ein berufsbegleitendes Master-Studium mit den Karrieremöglichkeiten eines weltweiten Technologie-Unternehmens.  Programminhalte  Sie studieren an einer Hochschule, die ein akkreditiertes berufsbegleitendes Master-Studium anbietet. Die Studiendauer richtet sich nach der jeweiligen Hochschule und beträgt zwischen zwei und drei Jahren. Parallel arbeiten Sie in einer Fachabteilung bei IBM, in der Sie Ihr theoretisches Wissen direkt in die Praxis umsetzen können. Neben verantwortungsvollen Aufgaben mit fester Vergütung bieten wir Ihnen die komplette Übernahme Ihrer Studiengebühren sowie der Reisekosten zur Hochschule, ein IBM internes Schulungsangebot, Möglichkeiten zur Zertifizierung in unterschiedlichen Fachgebieten und Unterstützung bei Ihrer weiteren Karriereplanung.  Aufgaben  Sie werden als Berater/-in bzw. Blockchain Consultant im Bereich Global Business Services der IBM Blockchain Practice DACH eingesetzt.  Der Bereich Blockchain Practice DACH bündelt die IBM Blockchain-Kompetenz für die Region Deutschland, Österreich und Schweiz und bietet Beratungs- und Dienstleistungen für die partnerschaftliche Erarbeitung von Lösungen in den komplexesten Vorhaben und Systemlandschaften unserer Kunden. Ziel ist die Erabeitung von Konzepten für den Einsatz von Blockchain, das Zusammenführen von Netzwerken bzw. Eco-Systemen, die Implementierung der Blockchain-Lösungen und die Verantwortung des Betriebs. Es erwarten Sie folgende Aufgaben:Wertschätzende Zusammenarbeit in Beraterteams in unseren KundenprojektenUnterstützung erfahrener Kollegen in alle Aufgabenbereichen der Analyse und Konzeption von Blockchain NetzwerkenAnalyse von Anwendungsfällen und ProzessenKonzeption von Lösungsansätzen im Umfeld Blockchain-TechnologieUnterstützung unserer Kunden bei der Erarbeitung von Business Case, und ggf. GeschäftmöglichkeitenProjektunterstützung bei der Implementierung der Lösung auf Basis von Blockchain-Technologie Der Aufgabenumfang ermöglicht es Ihnen, sich ausreichend Ihrem Master-Studium zu widmen. Ihre Master-Thesis schreiben Sie in Zusammenarbeit mit Ihrem Bereich.  Ihr Studium werden Sie vorzugsweise an der Dualen Hochschule Baden-Württemberg Center for Advanced Studies bzw. Wilhelm-Büchner-Hochschule oder TH Köln im Studiengang BWL bzw. Wirtschaftinformatik absolvieren. Einstellorte: Vorzugsweise München, Ehningen (bei Stuttgart) oder auch Frankfurt Wir erwarten:einen guten Bachelor- oder Diplom-Abschluss (Notendurchschnitt 2,5 oder besser) mit Schwerpunkt auf BWL und/oder Wirtschaftsinformatik, der i.d.R. nicht länger als 24 Monate zurückliegtanalystisches Denken und Lösungsorientierungsicheres Auftreten und gute Kommunikationsfähigkeiteigenverantwortliches Arbeiten, hohe Leistungsbereitschaft, Teamfähigkeit und Flexibilitätsehr gute Deutschkenntnissesehr gute EnglischkenntnisseWir bieten:eine feste Vergütung während der Vertragslaufzeit:im 1. Jahr: 1.588 brutto/Monatab dem 2. Jahr: 2.076 brutto/Monatdie Übernahme der Studiengebühren sowie der Reisekosten zur Hochschule gemäß unseren Richtlinien30 Tage Urlaub im Jahr38h-Vertrag mit einer auf das jeweilige Studienmodell abgestimmten Arbeitszeitgestaltung mit einer Freistellung für durchschnittlich zehn Stunden pro Woche für StudienzweckeIBM interne Schulungsangebotedie Möglichkeit einer Zertifizierung parallel zum Studium (bspw. Projektmanagement, ITIL, Scrum)Persönliche Betreuung durch die Fachabteilung und IBM StudienreferentenUnterstützung bei der weiteren KarriereplanungHinweise zur Bewerbung: Beachten Sie, dass wir ein Studium an den Hochschulen Aalen, DHBW CAS, ESB Reutlingen, KIT Hector School, HdM Stuttgart, HHL, HHZ, HTW Berlin, Nordakademie, HS Pforzheim sowie UdK nur Studierenden ermöglichen, die einen Bachelor-Abschluss mit 210 ECTS vorweisen können. Ist dies nicht der Fall, finden wir in Abstimmung mit Ihnen eine alternative Hochschule aus unserem Portfolio.  Bewerbungen auf mehrere Master@IBM Stellen sind möglich. Beschränken Sie sich dann bitte auf max. 3 Positionen. Bitte geben Sie Ihre Priorisierung unter Angaben der Stellennummern (Requisition Numbers) in Ihren Unterlagen an. Wir werden Ihre Bewerbungen sequentiell nach Vergabe Ihrer Prioritäten bearbeiten.  Bitte bewerben Sie sich auf Deutsch und reichen Sie folgende Dokumente bei der Online-Bewerbung (wenn möglich bitte zusammengefasst in einem PDF Dokument) ein: Anschreiben, das Ihre Motivation für IBM und ein berufsbegleitendes Masterstudium sowie Ihre Qualifikation in der IBM Fachabteilung deutlich macht.Aussagekräftiger LebenslaufBachelor- oder Diplom-Zeugnis und ggf. Arbeits- und Praktikumszeugnisse. Sollte Ihnen noch kein Zeugnis zum Studien-Abschluss vorliegen, bitten wir um Zusendung des aktuellen Notenspiegels. Wir setzen einen Notendurchschnitt von 2,5 oder besser voraus. Von Bewerbern mit einem Abschluss einer ausländischen Hochschule wird eine individuelle Zeugnisbewertung der Zentralstelle für ausländisches Bildungswesen (ZAB) benötigt. Bewerber/-innen aus Nicht-EU-Staaten müssen eine gültige Arbeitserlaubnis und Aufenthaltsgenehmigung vorweisen.  Für Fragen, die darüber hinaus gehen, schauen Sie in unsere FAQ oder kontaktieren Sie uns über ibm.masterprogramme@de.ibm.com.  Wir freuen uns auf Ihre Bewerbung!  #MasterAtIBM #DoYourBestWorkEver  Required Technical and Professional Expertise Bachelor BWL /Wirtschaftswissenschaften oder Wirtschaftsinformatikgutes technologisches Veständnis Preferred Tech and Prof Experience Grundlagen in der Programmierung (vorzugsweise Java) und IT-ArchitekturkonzeptenTheoretische Grundkenntnisse in Blockchain Technologien Read moreSee All",Master@IBM - Blockchain Consultant, 5 days ago
,Stuttgart,237611,"[('Headquarters', 'Cologne, Germany'), ('Size', '5001 to 10000 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Aerospace & Defense'), ('Revenue', 'Unknown / Non-Applicable per year'), ('Competitors', 'Unknown')]",DLR,4.1,Germany,"Ihre Mission:In der Abteilung Intelligente und verteilte Systeme forschen wir in angewandter Softwaretechnik. Unsere Forschungsschwerpunkte sind in den Bereichen verteilte und dezentrale Softwaresysteme, intelligente und wissensbasierte Softwaresysteme sowie Software Engineering und Software-Analytik. Unter anderem forschen wir an der Nachvollziehbarkeit von Prozessen durch Aufzeichnen und Analysieren der Provenance von Daten, um zu verstehen wie sie entstanden sind und wie verlässlich sie sind.  Wir bieten Ihnen die Möglichkeit, bei uns eine Abschlussarbeit oder ein Pflichtpraktikum im Bereich Trusted Provenance durchzuführen. Ihre Aufgabe wird sein, Provenance-Graphen in einer Blockchain zu speichern, um die Authentizität der Provenance-Informationen zu gewährleisten.  Zu den Aufgaben gehört, ein Konzept zum Abbilden von Provenance-Graphen in öffentlichen Blockchains, wie zum Beispiel Ethereum oder Hyperledger, zu erarbeiten, das Speichern der Provenance-Graphen zu implementieren und anschließend die Vertrauenswürdigkeit des Ansatzes nachzuweisen.Ihre Qualifikation:Studium der InformatikBegeisterung für neue TechnologienInteresse an Blockchainsgute Programmierkenntnisse in Pythongute deutsche SprachkenntnisseKenntnisse und Erfahrung mit Ethereum oder ähnlichen Blockchains wünschenswertInteresse an Semantic Web wünschenswertIhr Start:Freuen Sie sich auf einen Arbeitgeber, der Ihr Engagement zu schätzen weiß und Ihre Entwicklung durch vielfältige Qualifizierungs- und Weiterbildungsmöglichkeiten fördert.  Unser einzigartiges Arbeitsumfeld bietet Ihnen Gestaltungsfreiräume und eine unvergleichbare Infrastruktur, in der Sie Ihre Mission verwirklichen können.  Vereinbarkeit von Privatleben, Familie und Beruf sowie Chancengleichheit von Frauen und Männern sind wichtiger Bestandteil unserer Personalpolitik.  Schwerbehinderte Bewerberinnen und Bewerber bevorzugen wir bei fachlicher Eignung. Read moreSee All",Data Provenance mit Blockchains, 6 days ago
,Stuttgart,1549693,"[('Headquarters', 'Stuttgart, Germany'), ('Size', '51 to 200 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Unknown'), ('Revenue', '$25 to $50 million (USD) per year'), ('Competitors', 'Unknown')]",targens GmbH,None,Germany,"targens GmbH Wir sind targens. Die Experten für Banking, Compliance und Digital Finance. Mit unseren 250 Kolleginnen und Kollegen beraten wir unsere Kunden bei der Unternehmenssteuerung, ihren Handelsaktivitäten, beim Schützen ihrer Geschäftsprozesse und bei der Beschleunigung ihres Vertriebserfolges. Für unseren Standort Stuttgart suchen wir eine/n Softwareentwickler Blockchain / Distributed Ledger (m/w) Sie sind offen für neue Technologien und lieben die Herausforderungen in der digitalen Welt? Dabei ist Blockchain Ihr Thema und Ihr Startpunkt Lösungswege neu zu denken? Dann sind Sie bei ... Read moreSee All",Softwareentwickler Blockchain / Distributed Ledger (m/w), 30+ days ago
,Frankfurt am Main,11516,"[('Headquarters', 'Amsterdam, Netherlands'), ('Size', '1001 to 5000 employees'), ('Founded', '1970'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$500 million to $1 billion (USD) per year'), ('Competitors', 'Unknown')]",BearingPoint GmbH,3.8,Germany,"BearingPoint - Praktikant (w/m) im Bereich Blockchain als disruptives Element in der RegTech am Standort Frankfurt Design your own career. Make your point @ BearingPoint. Wir bieten Beratung, die Strategie mit Technologie vereint und verbinden Unternehmertum mit Innovationsgeist. Bei uns warten auf Sie außergewöhn- liche Entwicklungschancen, vielfältige Gestaltungsräume und Kollegen, die schnell zu Freunden werden. Consulting. Software. Ventures. Praktikant (w/m) im Bereich Blockchain als disruptives Element in der RegTech am Standort Frankfurt Ihre Aufgaben: Als Praktikant (w/m) wirken Si... Read moreSee All",Praktikant (w/m) im Bereich Blockchain als disruptives Element in der RegTech am Standort, 16 days ago
,Frankfurt am Main,11516,"[('Headquarters', 'Amsterdam, Netherlands'), ('Size', '1001 to 5000 employees'), ('Founded', '1970'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$500 million to $1 billion (USD) per year'), ('Competitors', 'Unknown')]",BearingPoint GmbH,3.8,Germany,"BearingPoint - Praktikant (w/m) im Bereich Blockchain-Programmierung in der RegTech am Standort Frankfurt Design your own career. Make your point @ BearingPoint. Wir bieten Beratung, die Strategie mit Technologie vereint und verbinden Unternehmertum mit Innovationsgeist. Bei uns warten auf Sie außergewöhn- liche Entwicklungschancen, vielfältige Gestaltungsräume und Kollegen, die schnell zu Freunden werden. Consulting. Software. Ventures. Praktikant (w/m) im Bereich Blockchain-Programmierung in der RegTech am Standort Frankfurt Ihre Aufgaben: Als Praktikant (w/m) wirken Sie aktiv mit bei de... Read moreSee All",Praktikant (w/m) im Bereich Blockchain-Programmierung in der RegTech am Standort, 16 days ago
,Berlin,1186639,"[('Headquarters', 'London, United Kingdom'), ('Size', '1 to 50 employees'), ('Founded', 'Unknown'), ('Type', 'Company - Private'), ('Industry', 'Unknown'), ('Revenue', 'Unknown / Non-Applicable per year'), ('Competitors', 'Unknown')]",BrickVest,None,Germany,"Backend Developer (Blockchain) / Berlin Location: Berlin Start date: asap Type: full-time Compensation: competitive Team: R&D Level: Middle/Senior Responsibilities Implementing usage of Blockchain and Smart Contracts in company’s investment platformDevelopment of company’s platform APIIntegration work with partners’ APIsKeeping platform documentation up-to-date with development of new featuresClose cooperation with CTO on architectural decisions Required Skills & Qualifications Real/PoC experience with Blockchain and Smart Contracts (Ethereum, Eris/Monax)Good experience with Javascript and SolidityKnowledge and following of SOLID principles in your day-to-day workOOP, Design Patterns, Clean CodingMySQL, AWS, Git, Vagrant/DockerFluent English Highly desirable Experience with IPFSGood knowledge of PHP 5.6 -> 7.xGood knowledge of Symfony 2.8 -> 3.xWork permit in GermanyAgile (Scrum/Kanban) experienceExperience with FinTech domain If this sounds like your next challenge, please submit your CV (cover letter is optional, 100 words max) to careers@brickvest.com (subject line: “Backend Developer (Blockchain)”), stating your earliest possible start date and your salary expectation. Read moreSee All",Backend Developer (Blockchain) /, 23 days ago
,Stuttgart,763397,"[('Headquarters', 'Reading, United Kingdom'), ('Size', '51 to 200 employees'), ('Founded', '2007'), ('Type', 'Company - Private'), ('Industry', 'Business Services'), ('Revenue', '$50 to $100 million (USD) per year'), ('Competitors', 'RocSearch, Premier Technical Recruitment, Opus Talent Solutions')]",Austin Fraser Germany,4.8,Germany,"Einsatzort: Stuttgart  Gehalt: 40.000 - 50.000  Vertragsform: Festanstellung  Das Unternehmen:  Dieses mittelständische Unternehmen entwickelt seit 20 Jahren erfolgreich hochwertige Java Lösungen für eines der marktführenden Firmen aus der Finanzbranche in Stuttgart.  Da dieses Unternehmen seit einiger Zeit mit Blockchain arbeitet und das Team stetig wächst, sucht mein Kunde für dieses sympathische Entwicklerteam ""Blockchain"" Verstärkung.  Deine Aufgaben als Junior Java Blockchain Entwickler (m/w): Du designst, entwickelst und implementierst modernste Java & Blockchain ProdukteDu entwickelst neue zukunftsweisende Java & Blockchain Lösungen stetig weiterDu stimmst dich eng mit Projekt Managern und Business Analysten zum aktuellen und zu künftigen Blockchain Entwicklungsprojekten ab Kurz und knackig - was bietet dir diese Position als Junior Java Blockchain Entwickler (m/w)? Ein angenehmes ArbeitsumfeldFreiheiten in der Java & Blockchain EntwicklungSpannende Projekte im Blockchain UmfeldNeueste Technologien (Java 8, Spring, Spring Boot, Gradle)Abwechslungsreiche AufgabenVielfältige KarriereperspektivenUnbefristeter Arbeitsvertrag, 30 Tage Urlaub, keine Kernzeit, Zeiterfassung, Überstundenabbau durch Freizeitausgleich, Teilzeit möglich, betriebliche Altersvorsorge, Home Office, Firmenevents, regelmäßige Weiterbildung) Was solltest du als Junior Java Blockchain Entwickler (m/w) mitbringen? Ein abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare QualifikationPraktische Erfahrung in der Java Software Entwicklung als WerkstudentLust auf Java Projekte mit BlockchainMotivation zur Weiterbildung und -EntwicklungSpaß und Humor bei der ArbeitFließende Deutschkenntnisse Deine Bewerbung als Junior Java Blockchain Entwickler (m/w):  Klingt diese Position für dich interessant? Dann verlier' keine Zeit!  Bewirb' dich noch heute per Mail mit deinem Lebenslauf an l.hekmat@austinfraser.com.  Wenn du Fragen hast oder dir nicht sicher bist, ob die Position für dich in Frage kommt, dann kannst du mich gerne jederzeit zu einem kostenlosen Beratungsgespräch unter der Telefonnummer 089 27 37 380 32 erreichen.  Diese Position passt nicht zu dir? Kein Problem. Ich habe noch weitere spannende Positionen in der Java Softwareentwicklung als Junior/Senior Java Entwickler in Stuttgart und Karlsruhe für dich. Read moreSee All",HOT JOB: Junior Java/Blockchain Entwickler (m/w), 16 days ago
,Berlin,2071074,"[('Headquarters', 'Berlin, Germany'), ('Size', '51 to 200 employees'), ('Founded', '2016'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', '$500 million to $1 billion (USD) per year'), ('Competitors', 'Unknown')]",Status,5.0,Germany,"Status Status is building powerful decentralized apps on Ethereum that change the way we do things on the web. Our rapidly growing team is made up of self-motivated individuals who prosper in a fast-paced environment and value the ability to work from anywhere.  As a product, Status is an open source discovery tool for the Ethereum blockchain that makes it easy for anyone to access apps and services built on the decentralized web. Status also allows users to browse, chat, make payments and more.  As a platform, Status seeks to radically simplify the experience of building on the web3 stack in order to empower as many developers as possible to create fantastic, user-friendly decentralized applications. Job role Create momentum and drive adoption of Status developer products. You will be the first developer relations person on our team, responsible to grow the size and quality of the developer ecosystems built around Status, and the quality and quantity of the DApps developed within it in order to add value for users. ResponsibilitiesCreate momentum and drive the success of Status mobile and desktop products through your interactions with third-party developers building applications and businesses on them.Advocate the adoption of Status mobile products to strategic partners and the broader developer community.Participate in technical and design discussions with technical leads and strategic partners to speed adoption and ensure best practices during implementation.Advocate our developer products in person and online by presenting at conferences, blogging, videos, writing technical tutorials and other similar activities.Advocate for developers internally, and influence Status developer product strategy by working with Product Management, Engineering, PR, Marketing, Business Development and other cross-functional teams.Requirements Minimum qualifications:  Bachelor's degree in Computer Science or a similar technical field or equivalent practical experience.3 years of experience in software engineering, and coding experience in one or more of the following languages: Javascript, Clojure, Go.Experience working with mobile applications. Preferred qualifications: Master's degree in Computer Science or similar field. Active speaker engaged in the developer community.5 years of relevant work experience, including experience blogging and writing technical articles with an existing follower base.Considerable success as a software developer, architect, technology advocate, CTO or consultant working with mobile technologies.Have an online community presence and a following in the Android community. Strong command of mobile application development landscape.Experience in DApp development and/or Blockchain projectsWhy Join Status?We care deeply about open source software, and our organizational structure does away with strict hierarchy and fixed work hours. We believe in working with a high degree of autonomy while supporting the team's priorities.We are Remote.We are 75+ employees spread across different countries.We are a thought leader in the blockchain space.We are a Decentralized Team.We believe in Complete Transparency. Everyone has full access to business metrics and financial information Read moreSee All",Developer Relations Lead (Blockchain), 3 days ago
,Frankfurt am Main,1950679,"[('Headquarters', 'Frankfurt am Main, Germany'), ('Size', '1 to 50 employees'), ('Founded', '2014'), ('Type', 'Company - Private'), ('Industry', 'Information Technology'), ('Revenue', 'Unknown / Non-Applicable'), ('Competitors', 'Unknown')]",micobo,5.0,Germany,"Gemeinsam innovativ und effizientWir sind eine hochspezialisierte Beratung an der Schnittstelle von Finanzen und Technologie. Gemeinsam mit unseren Kunden gestalten wir in innovativen und disruptiven Projekten ganzheitliche Digitalisierungsstrategien und begleiten diese bei der strategischen und technischen Umsetzung. Werde Teil eines leistungsstarken und dynamischen Teams und begleite den digitalen Wandel einer gesamten Industrie. Willkommen bei micobo. Blockchain Developer (m/w)  Interessierst du dich für Blockchain? Wir entwickeln dich zum Experten!Frankfurt am Main und Home-based  Vollzeit, ab sofortDeineAufgaben:Konzipiere und implementiere innovative Blockchain-Lösungen im FinTech BereichEntwickle die Architektur und führe die technische Umsetzung durch (Proof-of-Concepts und Minimum Viable Product)Du bist Teil unserer Delivery Teams und wirst in agilen Softwareprojekten mitarbeitenOptimiere die Softwarelösungen und stelle sie intern und extern verständlich daBei uns wirst du die Möglichkeit haben, neues auszuprobieren und somit aktiv und kreativ mit zu gestalten!Deine Chancen:Werde Teil einer jungen und erfolgreichen Unternehmung mit unterschiedlichen Projekten im Bereich FinTechBeschäftige dich mit Themen, die wirklich Spaß machen, interessant und herausfordernd sindHinterlasse deinen Footprint, denn Deine Ideen sind uns wichtig!Das Ergebnis zählt! Wir verfolgen ein flexibles Arbeitszeit- und Arbeitsplatzmodell (Home-Office)Support wie du ihn brauchst: Dir steht ein erfahrener Mentor zur SeiteUnser Anspruch ist immer mehr zu wissen als die Anderen: Kontinuierliche und qualitativ einzigartige Weiterbildung ist ein „Must“ für jeden MitarbeiterHervorragende Infrastruktur (Apple Equipment, Coursera, Netflix, Gym, etc.)Dein Profil:Mind. 1 Jahr Berufserfahrung im Bereich IT oder TechnologieErste Erfahrung in der Entwicklung von Blockchain-LösungenInteresse für FinanzthemenErfolgreich abgeschlossenes (Wirtschafts-) Informatik-studium, Technologie- und Innovationsmanagement, Technik- und Ingenieurwissenschaften oder VergleichbaresGute Programmierkenntnisse in mind. zwei der folgenden Technologien & Spass daran, sich einzuarbeiten: Python, Java, C#.NET, Webservice Architekturen, REST, JSON, Continuous Integration, Relationale Datenbanken, NoSQL, Elasticsearch, JavaScript / Node.JS, GITErgebnisorientierung, konzeptionelles und analytisches Denken und HandelnUmsetzungsdrive und Spaß an HerausforderungenAgilität und SelbstorganisationÜber uns: Die micobo GmbH ist ein spezialisierter Technologiedienstleister aus dem FinTech Bereich. Unsere Kunden sind etablierte Finanzdienstleister und Banken mit dem Bestreben nach einzigartiger Innovationsberatung. Unsere Dienstleistungen:Entwicklung kundenindividueller DigitalisierungsstrategienStrategische und technologische BeratungBegleitung kompletter TransformationsprogrammeSoftwareeinführung und –entwicklungErstellung von Market Insights im Bereich FinTechUnsere Geschäftsfelder:Blockchain (DLT)Robo Advisory (digitale Vermögensverwaltung)Personal Finance Management und Omni-Channel BankingArtificial Intelligence (Machine Learning)Banking as a Service (Infrastruktur)CrowdfinanceInteresse geweckt?Dann bewirb Dich jetzt! Read moreSee All",Blockchain Developer, 20 days ago
